condition_id,status,metric,mean,population_std,n,expected_n
student_t_d2_df3.0_cor,pending,,,,0,3
student_t_d8_df3.0_cor,pending,,,,0,3
student_t_d16_df3.0_cor,pending,,,,0,3
student_t_d32_df3.0_cor,pending,,,,0,3
student_t_d64_df3.0_cor,pending,,,,0,3
student_t_d128_df3.0_cor,pending,,,,0,3
student_t_d256_df3.0_cor,pending,,,,0,3
student_t_d16_df1.5_cor,pending,,,,0,3
student_t_d16_df2.0_cor,pending,,,,0,3
student_t_d16_df5.0_cor,pending,,,,0,3
student_t_d16_df10.0_cor,pending,,,,0,3
student_t_d16_df50.0_cor,pending,,,,0,3
gaussian_aniso_d16_cor,pending,,,,0,3
aniso_k1,pending,,,,0,3
aniso_k3,pending,,,,0,3
aniso_k10,pending,,,,0,3
aniso_k30,pending,,,,0,3
aniso_k100,pending,,,,0,3
aniso_k300,pending,,,,0,3
toy_radial_angular,pending,,,,0,3
piv_d16,pending,,,,0,3
piv_d32,pending,,,,0,3
piv_d64,pending,,,,0,3
piv_d256,pending,,,,0,3
finance_ff49,pending,,,,0,3
weather_au_wind,pending,,,,0,3
audiomnist_stft,pending,,,,0,3
imagenette_dcae,pending,,,,0,3
