step,loss,elapsed_s
500,22610.76953125,5.156024932861328
1000,22589.796875,10.025526285171509
1500,22429.953125,14.935050010681152
2000,22258.0078125,19.84105896949768
2500,22229.74609375,24.72658348083496
3000,22335.890625,29.652581691741943
3500,22262.7890625,34.55810880661011
4000,22203.14453125,39.401108264923096
4500,22139.62890625,44.30963063240051
5000,22170.9296875,49.193628549575806
5500,22211.046875,54.010159730911255
6000,22218.3828125,58.87966299057007
6500,22226.68359375,63.71068835258484
7000,22217.2890625,68.63618969917297
7500,22109.34375,73.56521797180176
8000,22133.1171875,78.45471668243408
8500,22164.72265625,83.34874629974365
9000,21977.34375,88.23274540901184
9500,22103.607421875,93.0952672958374
10000,22118.49609375,97.95976734161377
