step,loss,elapsed_s
500,9143.943359375,2.722501754760742
1000,8854.810546875,5.250036716461182
1500,8736.3115234375,7.814034938812256
2000,8589.84765625,10.365535497665405
2500,8568.92578125,12.904034852981567
3000,8530.5302734375,15.471068382263184
3500,8397.4931640625,18.027069091796875
4000,8455.337890625,20.58207058906555
4500,8373.353515625,23.13506841659546
5000,8343.681640625,25.692097425460815
5500,8269.875,28.23410129547119
6000,8324.3994140625,30.776597499847412
6500,8316.009765625,33.33559727668762
7000,8349.8671875,35.88312816619873
7500,8336.5615234375,38.42762613296509
8000,8295.8759765625,40.99062728881836
8500,8371.4658203125,43.54263091087341
9000,8283.5078125,46.084152698516846
9500,8305.7685546875,48.66915583610535
10000,8278.142578125,51.23065543174744
