step,loss,elapsed_s
500,18005.671875,3.045499563217163
1000,17720.53125,5.7635252475738525
1500,17831.41796875,8.504024982452393
2000,17609.84375,11.218524932861328
2500,17667.4140625,13.934524059295654
3000,17628.8671875,16.667550563812256
3500,17519.189453125,19.404550552368164
4000,17592.30859375,22.12005090713501
4500,17576.92578125,24.837578535079956
5000,17481.91015625,27.548075437545776
5500,17281.5859375,30.261576652526855
6000,17437.20703125,32.96857285499573
6500,17432.05078125,35.687607765197754
7000,17500.41015625,38.39010691642761
7500,17507.125,41.113605260849
8000,17502.970703125,43.824106216430664
8500,17474.23828125,46.57463192939758
9000,17549.802734375,49.293131589889526
9500,17511.919921875,52.018131732940674
10000,17532.71484375,54.73963141441345
