step,loss,elapsed_s
500,22669.841796875,5.093000411987305
1000,22584.892578125,9.943020820617676
1500,22775.28125,14.800524711608887
2000,22359.6171875,19.64905333518982
2500,22362.28515625,24.536051511764526
3000,22476.68359375,29.375073194503784
3500,22339.515625,34.2550745010376
4000,22389.6328125,39.07110786437988
4500,22315.791015625,43.919607639312744
5000,22278.765625,48.76114082336426
5500,22158.484375,53.590641498565674
6000,22197.13671875,58.471667766571045
6500,22292.6171875,63.340167760849
7000,22347.67578125,68.21319365501404
7500,22263.49609375,73.04220032691956
8000,22269.205078125,77.8797173500061
8500,22244.400390625,82.7157256603241
9000,22246.58984375,87.58574438095093
9500,22332.642578125,92.4607424736023
10000,22374.443359375,97.32728743553162
