step,loss,elapsed_s
200,-4.073409080505371,60.61523509025574
400,-7.5147600173950195,121.7716269493103
600,-8.471864700317383,184.52907824516296
800,-8.973116874694824,243.90291047096252
1000,-9.648898124694824,304.6756317615509
1200,-10.112079620361328,365.2163293361664
1400,-9.887907028198242,425.931752204895
1600,-9.374959945678711,484.84538197517395
1800,-10.011371612548828,546.7574808597565
2000,-9.714975357055664,610.0340564250946
2200,-10.654425621032715,668.4106206893921
2400,-10.068872451782227,728.455904006958
2600,-9.39746379852295,786.6503827571869
2800,-11.299552917480469,845.0569131374359
3000,-10.617899894714355,905.2125723361969
3200,-9.978610038757324,965.5994763374329
3400,-9.78795051574707,1026.6931080818176
3600,-10.553322792053223,1085.1040391921997
3800,-10.68112850189209,1143.8310856819153
4000,-10.490806579589844,1202.2242686748505
4200,-10.630952835083008,1261.0988290309906
4400,-10.392298698425293,1319.27268576622
4600,-10.848760604858398,1377.3858683109283
4800,-11.04958724975586,1435.2628939151764
5000,-10.168769836425781,1496.4950635433197
5200,-10.621256828308105,1556.6773600578308
5400,-10.933272361755371,1615.2582533359528
5600,-11.27182674407959,1673.297682762146
5800,-11.435281753540039,1731.5898232460022
6000,-11.185954093933105,1791.421103477478
6200,-11.454813957214355,1849.5380251407623
6400,-10.940845489501953,1909.194679737091
6600,-11.916668891906738,1973.2561824321747
6800,-12.233936309814453,2038.1321964263916
7000,-11.793905258178711,2097.0326080322266
7200,-11.009512901306152,2157.9772934913635
7400,-12.05217170715332,2218.5328800678253
7600,-10.938440322875977,2278.9884662628174
7800,-11.278022766113281,2338.7929916381836
8000,-11.55009651184082,2397.79962849617
8200,-11.503247261047363,2460.242251396179
8400,-11.00535774230957,2519.275082588196
8600,-11.974205017089844,2580.349685192108
8800,-11.01395034790039,2641.089866876602
9000,-11.81396484375,2700.0158212184906
9200,-10.567045211791992,2759.606340646744
9400,-12.149129867553711,2821.8826653957367
9600,-10.718317985534668,2881.458660364151
9800,-11.885167121887207,2941.78594827652
10000,-10.749540328979492,3001.0008177757263
