step,loss,elapsed_s
200,-6.244585037231445,65.84119606018066
400,-11.950780868530273,132.380464553833
600,-16.951950073242188,197.053480386734
800,-18.958454132080078,263.0386414527893
1000,-20.8778133392334,327.0941126346588
1200,-25.366336822509766,394.7909576892853
1400,-24.092016220092773,459.38594675064087
1600,-27.510848999023438,524.8057587146759
1800,-25.909095764160156,594.0263023376465
2000,-27.0595703125,660.5800330638885
2200,-28.415359497070312,727.2288999557495
2400,-29.60893440246582,798.1048302650452
2600,-28.577430725097656,868.2390608787537
2800,-27.724117279052734,934.9147453308105
3000,-32.54682159423828,1000.8032388687134
3200,-32.37068176269531,1068.0790371894836
3400,-30.280031204223633,1136.0051589012146
3600,-30.54646110534668,1203.3813190460205
3800,-34.32107162475586,1270.4300591945648
4000,-32.64661407470703,1339.1569366455078
4200,-33.507057189941406,1406.2253382205963
4400,-34.0430908203125,1471.3087515830994
4600,-34.67852783203125,1535.309094429016
4800,-34.57327651977539,1602.22896194458
5000,-35.6458854675293,1668.6280076503754
5200,-35.43438720703125,1734.7993850708008
5400,-36.59686279296875,1801.2656424045563
5600,-37.305274963378906,1869.2624053955078
5800,-34.90516662597656,1934.8391551971436
6000,-36.07504653930664,2005.5482203960419
6200,-37.721317291259766,2074.1950070858
6400,-37.955291748046875,2139.588047981262
6600,-37.38196563720703,2204.5249395370483
6800,-35.70033264160156,2269.708262205124
7000,-35.74055099487305,2336.680074930191
7200,-37.08061981201172,2401.8672790527344
7400,-37.256072998046875,2468.160308599472
7600,-38.0558967590332,2533.5519239902496
7800,-36.848201751708984,2599.1302449703217
8000,-38.4929084777832,2666.2386445999146
8200,-37.25107192993164,2730.423751592636
8400,-37.42164993286133,2798.1933586597443
8600,-37.43755340576172,2865.7202966213226
8800,-36.890785217285156,2932.1814284324646
9000,-37.35844039916992,2997.050402879715
9200,-37.002052307128906,3062.0397226810455
9400,-38.20906066894531,3127.139168024063
9600,-38.49656677246094,3192.90424823761
9800,-39.644744873046875,3257.9926133155823
10000,-39.05354309082031,3323.2631142139435
