condition,comparison_label,method,status,metric,mean,std_population,n,seeds
aniso_k1,new_matched_realization,A,complete,angular_sw_bin0,0.008176853880286217,0.00018583180721297983,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,A,complete,angular_sw_bin1,0.008172274256745974,8.480570682864474e-05,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,A,complete,angular_sw_bin2,0.007606657998015483,0.00012442371124698744,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,A,complete,angular_sw_bin3,0.00864439643919468,8.677132122149565e-05,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,A,complete,angular_sw_mean,0.008150045643560588,6.178520012978879e-05,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,A,complete,exploding_norm_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,A,complete,inf_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,A,complete,invalid_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,A,complete,ks_stat,0.010100007057189941,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,A,complete,mmd,0.00013124942779541016,8.164458495052863e-06,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,A,complete,nan_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,A,complete,nfe,512,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,A,complete,q950_err,0.003214405035232895,3.298567766310318e-08,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,A,complete,q990_err,0.0008871895818321581,3.060184241524519e-08,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,A,complete,q995_err,0.0030266671072267165,7.864629114039441e-08,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,A,complete,radial_w1,0.012358881843586763,1.5829439938045991e-09,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,A,complete,sample_time_s,0.189125195145607,0.0018821033792228168,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,A,complete,sliced_w1,0.021147213876247406,0.00022859801579665857,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,A,complete,tail_exc_95,0.002500000596046492,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,A,complete,tail_exc_99,0.0002000003680586726,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,A,complete,total_train_time_s,29.951571221152943,1.4042579922701937,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,B,complete,angular_sw_bin0,0.008248414223392805,0.0002180386179151259,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,B,complete,angular_sw_bin1,0.008191063068807125,3.939997140099477e-05,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,B,complete,angular_sw_bin2,0.007592441203693549,8.456755981157511e-05,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,B,complete,angular_sw_bin3,0.008860602354009947,0.00010553882284504479,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,B,complete,angular_sw_mean,0.008223130212475857,2.818883049699884e-05,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,B,complete,exploding_norm_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,B,complete,inf_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,B,complete,invalid_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,B,complete,ks_stat,0.010100007057189941,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,B,complete,mmd,0.00013256072998046875,1.1392234160267606e-05,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,B,complete,nan_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,B,complete,nfe,512,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,B,complete,q950_err,0.003214544981611041,3.298567766310318e-08,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,B,complete,q990_err,0.0008872328593727354,3.060184241519408e-08,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,B,complete,q995_err,0.0030267932218593684,5.94510079702233e-08,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,B,complete,radial_w1,0.01235888246446848,7.604216979143452e-10,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,B,complete,sample_time_s,0.28631020585695904,0.005477061841670412,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,B,complete,sliced_w1,0.021165456001957256,0.0003722794064664881,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,B,complete,tail_exc_95,0.002500000596046492,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,B,complete,tail_exc_99,0.0002000003680586726,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,B,complete,total_train_time_s,29.19903949648142,0.12990307202982396,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,C,complete,angular_sw_bin0,0.008129600125054518,0.00013318397461576395,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,C,complete,angular_sw_bin1,0.008073247969150543,9.257146878807646e-05,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,C,complete,angular_sw_bin2,0.007628417573869228,0.00012128496953248648,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,C,complete,angular_sw_bin3,0.008386931692560514,0.00012935237643972773,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,C,complete,angular_sw_mean,0.008054549340158701,4.99618476827705e-05,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,C,complete,exploding_norm_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,C,complete,inf_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,C,complete,invalid_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,C,complete,ks_stat,0.010100007057189941,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,C,complete,mmd,0.00013299783070882162,1.0107904306376938e-05,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,C,complete,nan_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,C,complete,nfe,512,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,C,complete,q950_err,0.003214475008421968,3.298567766310318e-08,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,C,complete,q990_err,0.0008871895818321581,3.060184241524519e-08,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,C,complete,q995_err,0.0030267091454376006,7.864629114058759e-08,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,C,complete,radial_w1,0.012358884637554487,2.44441376192241e-09,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,C,complete,sample_time_s,0.2525354747970899,0.007087023044166215,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,C,complete,sliced_w1,0.021152136226495106,0.00037622711299810607,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,C,complete,tail_exc_95,0.002500000596046492,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,C,complete,tail_exc_99,0.0002000003680586726,0.0,3,"[8925, 77395, 65457]"
aniso_k1,new_matched_realization,C,complete,total_train_time_s,29.820918301741283,0.7329158971651544,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,A,complete,angular_sw_bin0,0.009979458215336004,0.0007490156236126174,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,A,complete,angular_sw_bin1,0.008214032277464867,0.0001764762333240711,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,A,complete,angular_sw_bin2,0.009531539554397265,0.0008396060574723082,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,A,complete,angular_sw_bin3,0.008574870570252338,0.0006154908281048625,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,A,complete,angular_sw_mean,0.009074975154362619,0.0005253140458747733,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,A,complete,exploding_norm_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,A,complete,inf_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,A,complete,invalid_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,A,complete,ks_stat,0.012400031089782715,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,A,complete,mmd,0.0002843141555786133,7.885800376781108e-05,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,A,complete,nan_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,A,complete,nfe,512,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,A,complete,q950_err,0.0013593420858034294,8.852980500682242e-08,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,A,complete,q990_err,0.0008078052251168665,1.3553317180168173e-07,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,A,complete,q995_err,0.009980196061573144,7.532070064405205e-08,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,A,complete,radial_w1,0.07575116803248723,2.458566163135485e-08,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,A,complete,sample_time_s,0.19283282508452734,0.00798954247099634,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,A,complete,sliced_w1,0.13433870921532312,0.013378667211544517,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,A,complete,tail_exc_95,0.000900001078844026,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,A,complete,tail_exc_99,0.00010000005364418918,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,A,complete,total_train_time_s,28.49544669687748,1.847442205999618,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,B,complete,angular_sw_bin0,0.011246946640312672,0.00125446582145562,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,B,complete,angular_sw_bin1,0.008943293864528338,0.0005640511830713836,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,B,complete,angular_sw_bin2,0.009971094317734241,0.0016575656835901335,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,B,complete,angular_sw_bin3,0.008821187540888786,0.0008969382446030883,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,B,complete,angular_sw_mean,0.009745630590866009,0.0010385978082004458,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,B,complete,exploding_norm_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,B,complete,inf_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,B,complete,invalid_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,B,complete,ks_stat,0.012400031089782715,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,B,complete,mmd,0.00042378902435302734,0.00021445047673759852,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,B,complete,nan_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,B,complete,nfe,512,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,B,complete,q950_err,0.00135930594366188,1.0222541350398801e-07,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,B,complete,q990_err,0.000807869116066771,9.035544786780487e-08,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,B,complete,q995_err,0.00998010381293132,7.532070064405205e-08,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,B,complete,radial_w1,0.07575120280186336,9.292506642078214e-09,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,B,complete,sample_time_s,0.282808281481266,0.0008157953767964865,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,B,complete,sliced_w1,0.15405119955539703,0.033516650371153645,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,B,complete,tail_exc_95,0.000900001078844026,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,B,complete,tail_exc_99,0.00010000005364418918,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,B,complete,total_train_time_s,29.605324854453404,4.01658868403455,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,C,complete,angular_sw_bin0,0.010773865195612112,0.0003740658344189862,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,C,complete,angular_sw_bin1,0.008666954934597015,0.00018376029438411,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,C,complete,angular_sw_bin2,0.0096492866675059,0.0006753026142739692,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,C,complete,angular_sw_bin3,0.010028071701526642,0.00017676361005849342,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,C,complete,angular_sw_mean,0.009779544624810418,0.0002972269396423167,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,C,complete,exploding_norm_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,C,complete,inf_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,C,complete,invalid_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,C,complete,ks_stat,0.012400031089782715,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,C,complete,mmd,0.0002702077229817708,5.594226069042783e-05,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,C,complete,nan_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,C,complete,nfe,512,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,C,complete,q950_err,0.0013593059436618803,5.111270675204511e-08,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,C,complete,q990_err,0.0008079010615417232,1.5650022644763474e-07,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,C,complete,q995_err,0.009980073063384047,8.697285358478934e-08,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,C,complete,radial_w1,0.07575114816427231,1.609509363375073e-08,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,C,complete,sample_time_s,0.25344812621672946,0.003423501999664678,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,C,complete,sliced_w1,0.13446329782406488,0.009847782528117832,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,C,complete,tail_exc_95,0.000900001078844026,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,C,complete,tail_exc_99,0.00010000005364418918,0.0,3,"[8925, 77395, 65457]"
aniso_k10,new_matched_realization,C,complete,total_train_time_s,28.959818604091804,0.2501719985784563,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,A,complete,angular_sw_bin0,0.010005336254835129,0.0010734307123574322,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,A,complete,angular_sw_bin1,0.009950637196501097,0.0008533742324856459,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,A,complete,angular_sw_bin2,0.008776347618550062,0.0010789761657210798,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,A,complete,angular_sw_bin3,0.012096268745760122,0.0020484211979412783,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,A,complete,angular_sw_mean,0.010207147453911602,0.0009003493172950833,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,A,complete,exploding_norm_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,A,complete,inf_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,A,complete,invalid_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,A,complete,ks_stat,0.011399984359741211,0.0,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,A,complete,mmd,0.0006992419560750326,0.00025198346219446413,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,A,complete,nan_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,A,complete,nfe,512,0.0,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,A,complete,q950_err,0.007355078321737654,1.0121734935292869e-07,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,A,complete,q990_err,0.002717359611725893,0.0,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,A,complete,q995_err,0.014684905936310569,1.48962084243221e-07,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,A,complete,radial_w1,0.8959000507990519,5.6195798014525375e-08,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,A,complete,sample_time_s,0.1871843934059143,0.00021340674198557131,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,A,complete,sliced_w1,1.4761945406595867,0.2055364166657435,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,A,complete,tail_exc_95,0.003200001269578978,0.0,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,A,complete,tail_exc_99,0.0004000000283121974,0.0,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,A,complete,total_train_time_s,28.754304612676304,1.8748315214697093,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,B,complete,angular_sw_bin0,0.00857861495266358,0.0005051941526739048,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,B,complete,angular_sw_bin1,0.009591314320762953,0.0002488892309991127,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,B,complete,angular_sw_bin2,0.007868147765596708,0.0005615292623230062,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,B,complete,angular_sw_bin3,0.010121926665306091,0.001572856411211452,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,B,complete,angular_sw_mean,0.009040000926082334,0.0004231461047311196,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,B,complete,exploding_norm_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,B,complete,inf_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,B,complete,invalid_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,B,complete,ks_stat,0.011399984359741211,0.0,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,B,complete,mmd,0.0004445314407348633,0.00010364277120411127,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,B,complete,nan_rate,0.0,0.0,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,B,complete,nfe,512,0.0,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,B,complete,q950_err,0.007355114107474705,5.06086746762599e-08,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,B,complete,q990_err,0.002717390465918666,4.363441787592424e-08,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,B,complete,q995_err,0.014684789080837594,0.0,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,B,complete,radial_w1,0.8959000706672668,1.2876074907000583e-07,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,B,complete,sample_time_s,0.28410721073548,0.002023949527545567,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,B,complete,sliced_w1,1.201482077439626,0.14762565800787025,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,B,complete,tail_exc_95,0.003200001269578978,0.0,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,B,complete,tail_exc_99,0.0004000000283121974,0.0,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,B,complete,total_train_time_s,27.28524188200633,0.6393697072650452,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,C,complete,angular_sw_bin0,0.011973868434627851,0.00026538747477128843,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,C,complete,angular_sw_bin1,0.009914284572005272,0.0001546137351035727,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,C,complete,angular_sw_bin2,0.007658383964250485,0.0003628787969374543,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,C,complete,angular_sw_bin3,0.012813015840947628,0.00017463742447944717,3,"[8925, 77395, 65457]"
aniso_k100,new_matched_realization,C,complete,angular_sw_mean,0.010589888202957809,9.269816174155099e-05,3,"[8925, 77395, 65457]"
