condition,comparison_label,method,seed,status,result_path,result_sha256,issues,failure,nonfinite_metric_fields
aniso_k1,new_matched_realization,A,8925,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json,2d1937d203c084999f26e0fd3ab1203cb99f42d379564fcff182e4d3d39cae76,[],null,[]
aniso_k1,new_matched_realization,A,77395,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json,467bf2a8ca3367ead92e96e8e525cf9f91c38b15e3ea5a1b2e8838d4788ef70f,[],null,[]
aniso_k1,new_matched_realization,A,65457,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json,cbdd6dbe11bc3424293284c5f1dd23514b9e8768fae435801ac22b9f67e7960f,[],null,[]
aniso_k1,new_matched_realization,B,8925,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_8925/result.json,50cfd862d01aabbaecd671a85714aa7264e887c718e5948ba38e1b4409829c09,[],null,[]
aniso_k1,new_matched_realization,B,77395,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_77395/result.json,6674827914899e65fec232db22eec65625d7b177e95fdfa6a63b33e0b2d122fa,[],null,[]
aniso_k1,new_matched_realization,B,65457,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json,9052ebb640efcc79c0e08a8b7f6f65bfe122fe2746c8dd9fee75811b91189465,[],null,[]
aniso_k1,new_matched_realization,C,8925,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/C/seed_8925/result.json,ba857aa036b7a08ec11a7d3654b03f896e8ec783d5b6654eb84f425b90549bea,[],null,[]
aniso_k1,new_matched_realization,C,77395,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/C/seed_77395/result.json,cf31443b9628321e5b7a70b4d4326a24131d03a092d202dcfe45341dc1902872,[],null,[]
aniso_k1,new_matched_realization,C,65457,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/C/seed_65457/result.json,ff123b91e074dea82da170bee48e0fe00d03a13e872878cebd8b051d15c23780,[],null,[]
aniso_k10,new_matched_realization,A,8925,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k10/A/seed_8925/result.json,a280766c70c76d142789b8c794dbe24820930db5f7dcb0b5b9d4554089ec3cb3,[],null,[]
aniso_k10,new_matched_realization,A,77395,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k10/A/seed_77395/result.json,1d2f157a6478891b126d198df21a9d60948c62eb499d80de3b4f8ff2a4117d60,[],null,[]
aniso_k10,new_matched_realization,A,65457,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k10/A/seed_65457/result.json,198dd6909e5ed2de3e4f3291ed86e727c33f1893dc801fef250fca7c270135fb,[],null,[]
aniso_k10,new_matched_realization,B,8925,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k10/B/seed_8925/result.json,bf328be161d3a917d1d13dbe805196e4ffb5150959e47bc02386409433ab6840,[],null,[]
aniso_k10,new_matched_realization,B,77395,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k10/B/seed_77395/result.json,df12a1a7a12c9e3c5da4d36c2747f0fad2d9b1983d96cbecf413aa8d5f9536b5,[],null,[]
aniso_k10,new_matched_realization,B,65457,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k10/B/seed_65457/result.json,9557989f6f4333766687706e32ec1c6b02b61043bf8ee7cd5e7cd5cc738b267d,[],null,[]
aniso_k10,new_matched_realization,C,8925,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k10/C/seed_8925/result.json,c67d57d9c2a3c623047d55582959088e4e361ce2d576618a8bbece217b6e9480,[],null,[]
aniso_k10,new_matched_realization,C,77395,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k10/C/seed_77395/result.json,bc28a5c1426c62862a635b93da40c69fe4b7579eeb72d29ea16ad29dddd49c60,[],null,[]
aniso_k10,new_matched_realization,C,65457,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k10/C/seed_65457/result.json,c662490730f16e573d537291792c322d2cf6a8a29cc84af4b2cfba5d717a5964,[],null,[]
aniso_k100,new_matched_realization,A,8925,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k100/A/seed_8925/result.json,219ca5e4cf6d39c8b856af1a9f27883765a808b748a0048aa1d2602a14918c3c,[],null,[]
aniso_k100,new_matched_realization,A,77395,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k100/A/seed_77395/result.json,33fca3f5460b4057ee16d23c329fdc97b15082a1da87c2381c23d114cb877989,[],null,[]
aniso_k100,new_matched_realization,A,65457,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k100/A/seed_65457/result.json,ea9ce1c00de4cbfea75786ee34c5654c9291dc3822e57f4679c2a702874ee013,[],null,[]
aniso_k100,new_matched_realization,B,8925,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k100/B/seed_8925/result.json,e246a72029c0eeb3276de12940bbff769ca1268aab02a222f8e628783ab94fe0,[],null,[]
aniso_k100,new_matched_realization,B,77395,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k100/B/seed_77395/result.json,e5d2a062f9450b7e259c681479daecfe1769dde7715f7aaa7297e78189429f2e,[],null,[]
aniso_k100,new_matched_realization,B,65457,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k100/B/seed_65457/result.json,9315a16302013080c4e37d27dd6c42b95394d8b9d7a8a72c955d90183af34c21,[],null,[]
aniso_k100,new_matched_realization,C,8925,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k100/C/seed_8925/result.json,ba571361be5f0f0858b4a367c31df21d0532c140986cf325f26087993d30abe9,[],null,[]
aniso_k100,new_matched_realization,C,77395,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k100/C/seed_77395/result.json,438755a2b12c35c8163d3f14d574981972a0975b1891f6c33f9dadabb5e1dcf7,[],null,[]
aniso_k100,new_matched_realization,C,65457,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k100/C/seed_65457/result.json,7efd064f89b657a85e66e640a2c2417d59d5c61ed66e340052772373fc495e86,[],null,[]
aniso_k3,new_matched_realization,A,8925,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k3/A/seed_8925/result.json,6aeeb3c3a095901ab09f0164c7aea125585bfbe77998efa42758884ef561163f,[],null,[]
aniso_k3,new_matched_realization,A,77395,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k3/A/seed_77395/result.json,74a2f85f33346657fb1781b25d4755d8406a8ed819a9ff85b8efe596b13c74e0,[],null,[]
aniso_k3,new_matched_realization,A,65457,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k3/A/seed_65457/result.json,68cf8c86c99b08e44e8076ab5d8185db9a1ecb83310248e2b347586ad40fbb19,[],null,[]
aniso_k3,new_matched_realization,B,8925,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k3/B/seed_8925/result.json,473f488135e01968a007459ff7e5823eeddc5b494e37c5f68fa73ea61f51d93d,[],null,[]
aniso_k3,new_matched_realization,B,77395,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k3/B/seed_77395/result.json,2b3ac03eacc0da2fead6c09498f136fbd421b69668c3bbd648071a76d2d9d778,[],null,[]
aniso_k3,new_matched_realization,B,65457,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k3/B/seed_65457/result.json,2b57fa556f608453ecacfcc247ca832a0316af3bbbe6ae5cfd65f00a1e52d4ae,[],null,[]
aniso_k3,new_matched_realization,C,8925,complete,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k3/C/seed_8925/result.json,34d6dedc580967dc0a465ddf7a24bc7b647017fa7b64f5b1ed4c0886c4e210d2,[],null,[]
