condition,comparison_label,method,seed,status,metric,value,result_path
aniso_k1,new_matched_realization,tflow,8925,complete,angular_sw_bin0,0.08609000593423843,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,8925,complete,angular_sw_bin1,0.09823734313249588,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,8925,complete,angular_sw_bin2,0.09733874350786209,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,8925,complete,angular_sw_bin3,0.1088414192199707,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,8925,complete,angular_sw_mean,0.09762687794864178,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,8925,complete,exploding_norm_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,8925,complete,inf_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,8925,complete,invalid_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,8925,complete,ks_stat,0.27790001034736633,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,8925,complete,mmd,0.1567096710205078,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,8925,complete,n_params,41504,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,8925,complete,nan_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,8925,complete,nfe,512,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,8925,complete,q950_err,0.011927000050658838,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,8925,complete,q990_err,0.012191348096902033,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,8925,complete,q995_err,0.011738056376770454,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,8925,complete,radial_w1,0.34423890709877014,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,8925,complete,sample_time_s,0.42219915986061096,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,8925,complete,sliced_w1,0.5661951303482056,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,8925,complete,tail_exc_95,0.011500000208616301,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,8925,complete,tail_exc_99,0.0016000002995133489,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,8925,complete,total_train_time_s,34.1471820063889,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_8925/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,angular_sw_bin0,0.06665108352899551,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,angular_sw_bin1,0.0752098485827446,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,angular_sw_bin2,0.08079222589731216,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,angular_sw_bin3,0.08923330157995224,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,angular_sw_mean,0.07797161489725113,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,exploding_norm_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,inf_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,invalid_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,ks_stat,0.21010001003742218,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,mmd,0.09868752956390381,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,n_params,41504,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,nan_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,nfe,512,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,q950_err,0.02736987295947283,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,q990_err,0.01658806491552961,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,q995_err,0.009316844601800644,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,radial_w1,0.2570391893386841,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,sample_time_s,0.42110590264201164,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,sliced_w1,0.45194119215011597,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,tail_exc_95,0.021899999305605933,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,tail_exc_99,0.0023000000417232602,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,77395,complete,total_train_time_s,32.28887553885579,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_77395/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,angular_sw_bin0,0.0809328630566597,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,angular_sw_bin1,0.08295507729053497,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,angular_sw_bin2,0.0908370316028595,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,angular_sw_bin3,0.10010900348424911,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,angular_sw_mean,0.08870849385857582,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,exploding_norm_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,inf_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,invalid_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,ks_stat,0.26440000534057617,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,mmd,0.12753021717071533,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,n_params,41504,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,nan_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,nfe,512,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,q950_err,0.006104740907472996,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,q990_err,0.01319190319627611,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,q995_err,0.028715040708538475,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,radial_w1,0.3507610559463501,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,sample_time_s,0.4175105392932892,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,sliced_w1,0.49603885412216187,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,tail_exc_95,0.005799998342990831,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,tail_exc_99,0.0016999996826052577,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
aniso_k1,new_matched_realization,tflow,65457,complete,total_train_time_s,33.330613892525434,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k1/seed_65457/result.json
