condition,method,status,metric,mean,std_population,std_sample,n
aniso_k1,A,complete,angular_sw_bin0,0.008176853880286217,0.00018583180721297983,0.00022759655282552754,3
aniso_k1,A,complete,angular_sw_bin1,0.008172274256745974,8.480570682864474e-05,0.00010386535450312131,3
aniso_k1,A,complete,angular_sw_bin2,0.007606657998015483,0.00012442371124698744,0.00015238730222925584,3
aniso_k1,A,complete,angular_sw_bin3,0.00864439643919468,8.677132122149565e-05,0.00010627273064989894,3
aniso_k1,A,complete,angular_sw_mean,0.008150045643560588,6.178520012978879e-05,7.567110698686177e-05,3
aniso_k1,A,complete,exploding_norm_rate,0.0,0.0,0.0,3
aniso_k1,A,complete,inf_rate,0.0,0.0,0.0,3
aniso_k1,A,complete,invalid_rate,0.0,0.0,0.0,3
aniso_k1,A,complete,ks_stat,0.010100007057189941,0.0,0.0,3
aniso_k1,A,complete,mmd,0.00013124942779541016,8.164458495052863e-06,9.999378669505486e-06,3
aniso_k1,A,complete,nan_rate,0.0,0.0,0.0,3
aniso_k1,A,complete,nfe,512,0.0,0.0,3
aniso_k1,A,complete,q950_err,0.003214405035232895,3.298567766310318e-08,4.039903954726172e-08,3
aniso_k1,A,complete,q990_err,0.0008871895818321581,3.060184241524519e-08,3.747944955320514e-08,3
aniso_k1,A,complete,q995_err,0.0030266671072267165,7.864629114039441e-08,9.632164172816782e-08,3
aniso_k1,A,complete,radial_w1,0.012358881843586763,1.5829439938045991e-09,1.938702538112302e-09,3
aniso_k1,A,complete,sample_time_s,0.189125195145607,0.0018821033792228168,0.002305096461131924,3
aniso_k1,A,complete,sliced_w1,0.021147213876247406,0.00022859801579665857,0.00027997424745725103,3
aniso_k1,A,complete,tail_exc_95,0.002500000596046492,0.0,0.0,3
aniso_k1,A,complete,tail_exc_99,0.0002000003680586726,0.0,0.0,3
aniso_k1,A,complete,total_train_time_s,29.951571221152943,1.4042579922701937,1.7198577741435694,3
aniso_k1,B,complete,angular_sw_bin0,0.008248414223392805,0.0002180386179151259,0.0002670416790568607,3
aniso_k1,B,complete,angular_sw_bin1,0.008191063068807125,3.939997140099477e-05,4.825491290634363e-05,3
aniso_k1,B,complete,angular_sw_bin2,0.007592441203693549,8.456755981157511e-05,0.00010357368516532807,3
aniso_k1,B,complete,angular_sw_bin3,0.008860602354009947,0.00010553882284504479,0.00012925813201217408,3
aniso_k1,B,complete,angular_sw_mean,0.008223130212475857,2.818883049699884e-05,3.452412558172615e-05,3
aniso_k1,B,complete,exploding_norm_rate,0.0,0.0,0.0,3
aniso_k1,B,complete,inf_rate,0.0,0.0,0.0,3
aniso_k1,B,complete,invalid_rate,0.0,0.0,0.0,3
aniso_k1,B,complete,ks_stat,0.010100007057189941,0.0,0.0,3
aniso_k1,B,complete,mmd,0.00013256072998046875,1.1392234160267606e-05,1.3952580361479817e-05,3
aniso_k1,B,complete,nan_rate,0.0,0.0,0.0,3
aniso_k1,B,complete,nfe,512,0.0,0.0,3
aniso_k1,B,complete,q950_err,0.003214544981611041,3.298567766310318e-08,4.039903954726172e-08,3
aniso_k1,B,complete,q990_err,0.0008872328593727354,3.060184241519408e-08,3.7479449553142546e-08,3
aniso_k1,B,complete,q995_err,0.0030267932218593684,5.94510079702233e-08,7.281231711059147e-08,3
aniso_k1,B,complete,radial_w1,0.01235888246446848,7.604216979143452e-10,9.313225746154785e-10,3
aniso_k1,B,complete,sample_time_s,0.28631020585695904,0.005477061841670412,0.006708003400880409,3
aniso_k1,B,complete,sliced_w1,0.021165456001957256,0.0003722794064664881,0.0004559472937945361,3
aniso_k1,B,complete,tail_exc_95,0.002500000596046492,0.0,0.0,3
aniso_k1,B,complete,tail_exc_99,0.0002000003680586726,0.0,0.0,3
aniso_k1,B,complete,total_train_time_s,29.19903949648142,0.12990307202982396,0.15909812124653908,3
aniso_k1,C,complete,angular_sw_bin0,0.008129600125054518,0.00013318397461576395,0.0001631163898622045,3
aniso_k1,C,complete,angular_sw_bin1,0.008073247969150543,9.257146878807646e-05,0.00011337643163538322,3
aniso_k1,C,complete,angular_sw_bin2,0.007628417573869228,0.00012128496953248648,0.00014854314441179795,3
aniso_k1,C,complete,angular_sw_bin3,0.008386931692560514,0.00012935237643972773,0.00015842365964687075,3
aniso_k1,C,complete,angular_sw_mean,0.008054549340158701,4.99618476827705e-05,6.119051671472091e-05,3
aniso_k1,C,complete,exploding_norm_rate,0.0,0.0,0.0,3
aniso_k1,C,complete,inf_rate,0.0,0.0,0.0,3
aniso_k1,C,complete,invalid_rate,0.0,0.0,0.0,3
aniso_k1,C,complete,ks_stat,0.010100007057189941,0.0,0.0,3
aniso_k1,C,complete,mmd,0.00013299783070882162,1.0107904306376938e-05,1.2379603959752112e-05,3
aniso_k1,C,complete,nan_rate,0.0,0.0,0.0,3
aniso_k1,C,complete,nfe,512,0.0,0.0,3
aniso_k1,C,complete,q950_err,0.003214475008421968,3.298567766310318e-08,4.039903954726172e-08,3
aniso_k1,C,complete,q990_err,0.0008871895818321581,3.060184241524519e-08,3.747944955320514e-08,3
aniso_k1,C,complete,q995_err,0.0030267091454376006,7.864629114058759e-08,9.632164172840442e-08,3
aniso_k1,C,complete,radial_w1,0.012358884637554487,2.44441376192241e-09,2.9937832184734926e-09,3
aniso_k1,C,complete,sample_time_s,0.2525354747970899,0.007087023044166215,0.00867979512677658,3
aniso_k1,C,complete,sliced_w1,0.021152136226495106,0.00037622711299810607,0.0004607822271228943,3
aniso_k1,C,complete,tail_exc_95,0.002500000596046492,0.0,0.0,3
aniso_k1,C,complete,tail_exc_99,0.0002000003680586726,0.0,0.0,3
