condition,contrast,status,metric,seed,delta,mean_delta,std_population,seeds_favor_B
aniso_k1,B-A,complete,angular_sw_bin0,8925,1.7461366951465607e-05,7.156034310658772e-05,3.889953274678063e-05,0
aniso_k1,B-A,complete,angular_sw_bin0,77395,0.00010725483298301697,7.156034310658772e-05,3.889953274678063e-05,0
aniso_k1,B-A,complete,angular_sw_bin0,65457,8.996482938528061e-05,7.156034310658772e-05,3.889953274678063e-05,0
aniso_k1,B-A,complete,angular_sw_bin1,8925,0.00011725816875696182,1.8788812061150868e-05,7.03335590631088e-05,2
aniso_k1,B-A,complete,angular_sw_bin1,77395,-4.2613595724105835e-05,1.8788812061150868e-05,7.03335590631088e-05,2
aniso_k1,B-A,complete,angular_sw_bin1,65457,-1.827813684940338e-05,1.8788812061150868e-05,7.03335590631088e-05,2
aniso_k1,B-A,complete,angular_sw_bin2,8925,-2.7242116630077362e-05,-1.4216794321934382e-05,6.197007565591817e-05,2
aniso_k1,B-A,complete,angular_sw_bin2,77395,-8.275872096419334e-05,-1.4216794321934382e-05,6.197007565591817e-05,2
aniso_k1,B-A,complete,angular_sw_bin2,65457,6.735045462846756e-05,-1.4216794321934382e-05,6.197007565591817e-05,2
aniso_k1,B-A,complete,angular_sw_bin3,8925,0.00030143558979034424,0.00021620591481526694,8.832215080035818e-05,0
aniso_k1,B-A,complete,angular_sw_bin3,77395,9.451434016227722e-05,0.00021620591481526694,8.832215080035818e-05,0
aniso_k1,B-A,complete,angular_sw_bin3,65457,0.0002526678144931793,0.00021620591481526694,8.832215080035818e-05,0
aniso_k1,B-A,complete,angular_sw_mean,8925,0.00010222825221717358,7.308456891526778e-05,3.8213790932347735e-05,0
aniso_k1,B-A,complete,angular_sw_mean,77395,1.9099214114248753e-05,7.308456891526778e-05,3.8213790932347735e-05,0
aniso_k1,B-A,complete,angular_sw_mean,65457,9.792624041438103e-05,7.308456891526778e-05,3.8213790932347735e-05,0
aniso_k1,B-A,complete,exploding_norm_rate,8925,0.0,0.0,0.0,
aniso_k1,B-A,complete,exploding_norm_rate,77395,0.0,0.0,0.0,
aniso_k1,B-A,complete,exploding_norm_rate,65457,0.0,0.0,0.0,
aniso_k1,B-A,complete,inf_rate,8925,0.0,0.0,0.0,
aniso_k1,B-A,complete,inf_rate,77395,0.0,0.0,0.0,
aniso_k1,B-A,complete,inf_rate,65457,0.0,0.0,0.0,
aniso_k1,B-A,complete,invalid_rate,8925,0.0,0.0,0.0,
aniso_k1,B-A,complete,invalid_rate,77395,0.0,0.0,0.0,
aniso_k1,B-A,complete,invalid_rate,65457,0.0,0.0,0.0,
aniso_k1,B-A,complete,ks_stat,8925,0.0,0.0,0.0,0
aniso_k1,B-A,complete,ks_stat,77395,0.0,0.0,0.0,0
aniso_k1,B-A,complete,ks_stat,65457,0.0,0.0,0.0,0
aniso_k1,B-A,complete,mmd,8925,-1.0728836059570312e-06,1.3113021850585938e-06,3.976423562253913e-06,2
aniso_k1,B-A,complete,mmd,77395,-1.9073486328125e-06,1.3113021850585938e-06,3.976423562253913e-06,2
aniso_k1,B-A,complete,mmd,65457,6.9141387939453125e-06,1.3113021850585938e-06,3.976423562253913e-06,2
aniso_k1,B-A,complete,nan_rate,8925,0.0,0.0,0.0,
