condition,method,seed,status,metric,value,result_path
aniso_k1,A,8925,complete,angular_sw_bin0,0.008000309579074383,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
aniso_k1,A,8925,complete,angular_sw_bin1,0.00805910024791956,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
aniso_k1,A,8925,complete,angular_sw_bin2,0.007734167389571667,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
aniso_k1,A,8925,complete,angular_sw_bin3,0.008535210974514484,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
aniso_k1,A,8925,complete,angular_sw_mean,0.008082197047770023,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
aniso_k1,A,8925,complete,exploding_norm_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
aniso_k1,A,8925,complete,inf_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
aniso_k1,A,8925,complete,invalid_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
aniso_k1,A,8925,complete,ks_stat,0.010100007057189941,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
aniso_k1,A,8925,complete,mmd,0.00012052059173583984,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
aniso_k1,A,8925,complete,nan_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
aniso_k1,A,8925,complete,nfe,512,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_8925/result.json
