condition,method,status,metric,mean,std_population,std_sample,n
aniso_k1,A,incomplete,,,,,
aniso_k1,B,incomplete,,,,,
aniso_k1,C,incomplete,,,,,
aniso_k1,tflow,incomplete,,,,,
aniso_k10,A,incomplete,,,,,
aniso_k10,B,incomplete,,,,,
aniso_k10,C,incomplete,,,,,
aniso_k10,tflow,incomplete,,,,,
aniso_k100,A,incomplete,,,,,
aniso_k100,B,incomplete,,,,,
aniso_k100,C,incomplete,,,,,
aniso_k100,tflow,incomplete,,,,,
aniso_k3,A,incomplete,,,,,
aniso_k3,B,incomplete,,,,,
aniso_k3,C,incomplete,,,,,
aniso_k3,tflow,incomplete,,,,,
aniso_k30,A,incomplete,,,,,
aniso_k30,B,incomplete,,,,,
aniso_k30,C,incomplete,,,,,
aniso_k30,tflow,incomplete,,,,,
aniso_k300,A,incomplete,,,,,
aniso_k300,B,incomplete,,,,,
aniso_k300,C,incomplete,,,,,
aniso_k300,tflow,incomplete,,,,,
audiomnist_stft,A,incomplete,,,,,
audiomnist_stft,B,incomplete,,,,,
audiomnist_stft,C,incomplete,,,,,
audiomnist_stft,tflow,incomplete,,,,,
finance_ff49,A,incomplete,,,,,
finance_ff49,B,incomplete,,,,,
finance_ff49,C,incomplete,,,,,
finance_ff49,tflow,incomplete,,,,,
gaussian_aniso_d16_cor,A,incomplete,,,,,
gaussian_aniso_d16_cor,B,incomplete,,,,,
gaussian_aniso_d16_cor,C,incomplete,,,,,
gaussian_aniso_d16_cor,tflow,incomplete,,,,,
imagenette_dcae,A,incomplete,,,,,
imagenette_dcae,B,incomplete,,,,,
imagenette_dcae,C,incomplete,,,,,
imagenette_dcae,tflow,incomplete,,,,,
piv_d16,A,incomplete,,,,,
piv_d16,B,incomplete,,,,,
piv_d16,C,incomplete,,,,,
piv_d16,tflow,incomplete,,,,,
piv_d256,A,incomplete,,,,,
piv_d256,B,incomplete,,,,,
piv_d256,C,incomplete,,,,,
piv_d256,tflow,incomplete,,,,,
piv_d32,A,incomplete,,,,,
piv_d32,B,incomplete,,,,,
piv_d32,C,incomplete,,,,,
piv_d32,tflow,incomplete,,,,,
piv_d64,A,incomplete,,,,,
piv_d64,B,incomplete,,,,,
piv_d64,C,incomplete,,,,,
piv_d64,tflow,incomplete,,,,,
student_t_d128_df3.0_cor,A,incomplete,,,,,
student_t_d128_df3.0_cor,B,incomplete,,,,,
student_t_d128_df3.0_cor,C,incomplete,,,,,
student_t_d128_df3.0_cor,tflow,incomplete,,,,,
student_t_d16_df1.5_cor,A,incomplete,,,,,
student_t_d16_df1.5_cor,B,incomplete,,,,,
student_t_d16_df1.5_cor,C,incomplete,,,,,
student_t_d16_df1.5_cor,tflow,incomplete,,,,,
student_t_d16_df10.0_cor,A,incomplete,,,,,
student_t_d16_df10.0_cor,B,incomplete,,,,,
student_t_d16_df10.0_cor,C,incomplete,,,,,
student_t_d16_df10.0_cor,tflow,incomplete,,,,,
student_t_d16_df2.0_cor,A,incomplete,,,,,
student_t_d16_df2.0_cor,B,incomplete,,,,,
student_t_d16_df2.0_cor,C,incomplete,,,,,
student_t_d16_df2.0_cor,tflow,incomplete,,,,,
student_t_d16_df3.0_cor,A,incomplete,,,,,
student_t_d16_df3.0_cor,B,incomplete,,,,,
student_t_d16_df3.0_cor,C,incomplete,,,,,
student_t_d16_df3.0_cor,tflow,incomplete,,,,,
student_t_d16_df5.0_cor,A,incomplete,,,,,
student_t_d16_df5.0_cor,B,incomplete,,,,,
student_t_d16_df5.0_cor,C,incomplete,,,,,
student_t_d16_df5.0_cor,tflow,incomplete,,,,,
student_t_d16_df50.0_cor,A,incomplete,,,,,
student_t_d16_df50.0_cor,B,incomplete,,,,,
student_t_d16_df50.0_cor,C,incomplete,,,,,
student_t_d16_df50.0_cor,tflow,incomplete,,,,,
student_t_d256_df3.0_cor,A,incomplete,,,,,
student_t_d256_df3.0_cor,B,incomplete,,,,,
student_t_d256_df3.0_cor,C,incomplete,,,,,
student_t_d256_df3.0_cor,tflow,incomplete,,,,,
student_t_d2_df3.0_cor,A,incomplete,,,,,
student_t_d2_df3.0_cor,B,incomplete,,,,,
student_t_d2_df3.0_cor,C,incomplete,,,,,
student_t_d2_df3.0_cor,tflow,incomplete,,,,,
student_t_d32_df3.0_cor,A,incomplete,,,,,
student_t_d32_df3.0_cor,B,incomplete,,,,,
student_t_d32_df3.0_cor,C,incomplete,,,,,
student_t_d32_df3.0_cor,tflow,incomplete,,,,,
student_t_d64_df3.0_cor,A,incomplete,,,,,
student_t_d64_df3.0_cor,B,incomplete,,,,,
student_t_d64_df3.0_cor,C,incomplete,,,,,
student_t_d64_df3.0_cor,tflow,incomplete,,,,,
student_t_d8_df3.0_cor,A,incomplete,,,,,
student_t_d8_df3.0_cor,B,incomplete,,,,,
student_t_d8_df3.0_cor,C,incomplete,,,,,
student_t_d8_df3.0_cor,tflow,incomplete,,,,,
toy_radial_angular,A,incomplete,,,,,
toy_radial_angular,B,incomplete,,,,,
toy_radial_angular,C,incomplete,,,,,
toy_radial_angular,tflow,incomplete,,,,,
weather_au_wind,A,incomplete,,,,,
weather_au_wind,B,incomplete,,,,,
weather_au_wind,C,incomplete,,,,,
weather_au_wind,tflow,incomplete,,,,,
