condition,contrast,status,metric,seed,delta,mean_delta,std_population,seeds_favor_B
aniso_k1,B-A,incomplete,,,,,,
aniso_k1,B-C,incomplete,,,,,,
aniso_k10,B-A,incomplete,,,,,,
aniso_k10,B-C,incomplete,,,,,,
aniso_k100,B-A,incomplete,,,,,,
aniso_k100,B-C,incomplete,,,,,,
aniso_k3,B-A,incomplete,,,,,,
aniso_k3,B-C,incomplete,,,,,,
aniso_k30,B-A,incomplete,,,,,,
aniso_k30,B-C,incomplete,,,,,,
aniso_k300,B-A,incomplete,,,,,,
aniso_k300,B-C,incomplete,,,,,,
audiomnist_stft,B-A,incomplete,,,,,,
audiomnist_stft,B-C,incomplete,,,,,,
finance_ff49,B-A,incomplete,,,,,,
finance_ff49,B-C,incomplete,,,,,,
gaussian_aniso_d16_cor,B-A,incomplete,,,,,,
gaussian_aniso_d16_cor,B-C,incomplete,,,,,,
imagenette_dcae,B-A,incomplete,,,,,,
imagenette_dcae,B-C,incomplete,,,,,,
piv_d16,B-A,incomplete,,,,,,
piv_d16,B-C,incomplete,,,,,,
piv_d256,B-A,incomplete,,,,,,
piv_d256,B-C,incomplete,,,,,,
piv_d32,B-A,incomplete,,,,,,
piv_d32,B-C,incomplete,,,,,,
piv_d64,B-A,incomplete,,,,,,
piv_d64,B-C,incomplete,,,,,,
student_t_d128_df3.0_cor,B-A,incomplete,,,,,,
student_t_d128_df3.0_cor,B-C,incomplete,,,,,,
student_t_d16_df1.5_cor,B-A,incomplete,,,,,,
student_t_d16_df1.5_cor,B-C,incomplete,,,,,,
student_t_d16_df10.0_cor,B-A,incomplete,,,,,,
student_t_d16_df10.0_cor,B-C,incomplete,,,,,,
student_t_d16_df2.0_cor,B-A,incomplete,,,,,,
student_t_d16_df2.0_cor,B-C,incomplete,,,,,,
student_t_d16_df3.0_cor,B-A,incomplete,,,,,,
student_t_d16_df3.0_cor,B-C,incomplete,,,,,,
student_t_d16_df5.0_cor,B-A,incomplete,,,,,,
student_t_d16_df5.0_cor,B-C,incomplete,,,,,,
student_t_d16_df50.0_cor,B-A,incomplete,,,,,,
student_t_d16_df50.0_cor,B-C,incomplete,,,,,,
student_t_d256_df3.0_cor,B-A,incomplete,,,,,,
student_t_d256_df3.0_cor,B-C,incomplete,,,,,,
student_t_d2_df3.0_cor,B-A,incomplete,,,,,,
student_t_d2_df3.0_cor,B-C,incomplete,,,,,,
student_t_d32_df3.0_cor,B-A,incomplete,,,,,,
student_t_d32_df3.0_cor,B-C,incomplete,,,,,,
student_t_d64_df3.0_cor,B-A,incomplete,,,,,,
student_t_d64_df3.0_cor,B-C,incomplete,,,,,,
student_t_d8_df3.0_cor,B-A,incomplete,,,,,,
student_t_d8_df3.0_cor,B-C,incomplete,,,,,,
toy_radial_angular,B-A,incomplete,,,,,,
toy_radial_angular,B-C,incomplete,,,,,,
weather_au_wind,B-A,incomplete,,,,,,
weather_au_wind,B-C,incomplete,,,,,,
