step,loss,elapsed_s
200,7234.0546875,0.9572093486785889
400,6517.2314453125,1.6298699378967285
600,6984.7763671875,2.300518274307251
800,7337.2900390625,2.9842147827148438
1000,7474.4765625,3.6548879146575928
1200,6582.39453125,4.312053680419922
1400,6316.3408203125,4.961202144622803
1600,6457.40869140625,5.641851902008057
1800,6450.76171875,6.343017339706421
2000,6556.01953125,7.064679384231567
2200,6630.71875,7.815851926803589
2400,6250.4609375,8.596031665802002
2600,6362.0673828125,9.296706199645996
2800,6291.8173828125,9.967869758605957
3000,6353.44873046875,10.639536619186401
3200,6373.779296875,11.289672136306763
3400,6971.5986328125,11.943349838256836
3600,6637.599609375,12.634040117263794
3800,6462.208984375,13.296222448348999
4000,6284.869140625,13.952383995056152
4200,6840.564453125,14.645569562911987
4400,6240.9443359375,15.3117036819458
4600,6501.06640625,15.97834062576294
4800,6336.2314453125,16.639506816864014
5000,6025.1455078125,17.313156366348267
5200,6422.955078125,17.988341093063354
5400,6418.9296875,18.69848942756653
5600,6575.2373046875,19.450676202774048
5800,6713.673828125,20.149353504180908
6000,6495.328125,20.85303783416748
6200,6149.154296875,21.531689167022705
6400,6405.0869140625,22.231351375579834
6600,6659.109375,22.920008182525635
6800,6327.8984375,23.617681980133057
7000,6301.783203125,24.3078510761261
7200,6209.99560546875,24.983489751815796
7400,6354.9736328125,25.65815043449402
7600,6660.2099609375,26.33780026435852
7800,7068.1884765625,26.990938186645508
8000,6519.50341796875,27.66612482070923
8200,6254.6005859375,28.321760892868042
8400,6293.8037109375,28.970900058746338
8600,6279.357421875,29.632089138031006
8800,6221.65625,30.32225465774536
9000,6512.1162109375,30.97342610359192
9200,6263.2861328125,31.664583444595337
9400,6245.9248046875,32.333735704422
9600,6282.59765625,33.00488996505737
9800,6194.5400390625,33.68305802345276
10000,6281.07373046875,34.353212118148804
