solver,target_nfe,actual_nfe,steps,project_tangent,radial_w1,sliced_w1,angular_sw_mean,ks_stat,sample_time_s,nan_rate,drift_final_mean,drift_final_max,drift_traj_max_mean
euler,1,1,1,True,0.13244621455669403,0.0620662122964859,0.03521617315709591,0.06173980236053467,0.11307001113891602,0.0,0.08220899105072021,4.049858570098877,0.08220899105072021
euler,1,1,1,False,0.14818736910820007,0.06359010189771652,0.03576417779549956,0.0642736554145813,0.0004994869232177734,0.0,0.1160999983549118,4.790251731872559,0.1160999983549118
euler,2,2,2,True,0.5041189789772034,0.06440982222557068,0.03165800543501973,0.1868119239807129,0.0014998912811279297,0.0,0.4665040969848633,4.017236232757568,0.4665040969848633
euler,2,2,2,False,0.3833199739456177,0.04976051673293114,0.026646824087947607,0.2539462745189667,0.0010004043579101562,0.0,0.4379347562789917,6.089727401733398,0.43827927112579346
euler,5,5,5,True,0.33879581093788147,0.03978824242949486,0.022056521382182837,0.1646895408630371,0.004017829895019531,0.0,0.3011809289455414,1.3887858390808105,0.3011809289455414
euler,5,5,5,False,0.261601984500885,0.03187575563788414,0.020090953214094043,0.13794627785682678,0.0025026798248291016,0.0,0.3058222234249115,6.747893810272217,0.308648943901062
euler,10,10,10,True,0.17986078560352325,0.027138523757457733,0.02018848597072065,0.10893931984901428,0.0065000057220458984,0.0,0.1381058543920517,0.6403188705444336,0.1381058543920517
euler,10,10,10,False,0.21752455830574036,0.028206637129187584,0.01989147812128067,0.11004626750946045,0.003996133804321289,0.0,0.25131750106811523,8.195690155029297,0.25470447540283203
euler,20,20,20,True,0.12074463069438934,0.023215672001242638,0.019718611612915993,0.07988953590393066,0.011502742767333984,0.0,0.06569740921258926,0.31059741973876953,0.06569740921258926
euler,20,20,20,False,0.1945221722126007,0.026732083410024643,0.019236918771639466,0.10114628076553345,0.009002208709716797,0.0,0.22695213556289673,9.931964874267578,0.23192664980888367
euler,50,50,50,True,0.09384272992610931,0.021677417680621147,0.01994397072121501,0.06343984603881836,0.02749800682067871,0.0,0.025522228330373764,0.12144994735717773,0.025522228330373764
euler,50,50,50,False,0.1807958036661148,0.025981731712818146,0.019572451943531632,0.09654627740383148,0.021501779556274414,0.0,0.21269409358501434,11.836540222167969,0.219293475151062
euler,100,100,100,True,0.0866580381989479,0.02131243236362934,0.019740628078579903,0.05788952112197876,0.05604100227355957,0.0,0.012640448287129402,0.060237884521484375,0.012640448287129402
euler,100,100,100,False,0.17602494359016418,0.02575759030878544,0.0197261453140527,0.09484627842903137,0.047029972076416016,0.0,0.2082933485507965,12.74856185913086,0.2155372053384781
heun,1,2,1,True,1.633711338043213,0.17007146775722504,0.03984817210584879,0.392065167427063,0.0015017986297607422,0.0,1.596096396446228,8.144916534423828,1.596096396446228
heun,1,2,1,False,1.5343337059020996,0.16098524630069733,0.04293949343264103,0.32017362117767334,0.0015015602111816406,0.0,1.488447666168213,9.991096496582031,1.488447666168213
heun,2,2,1,True,1.633711338043213,0.17007146775722504,0.03984817210584879,0.392065167427063,0.0015006065368652344,0.0,1.596096396446228,8.144916534423828,1.596096396446228
heun,2,2,1,False,1.5343337059020996,0.16098524630069733,0.04293949343264103,0.32017362117767334,0.001505136489868164,0.0,1.488447666168213,9.991096496582031,1.488447666168213
heun,5,4,2,True,0.271442174911499,0.039534445852041245,0.02527477266266942,0.12493932247161865,0.003003835678100586,0.0,0.23350511491298676,1.886094093322754,0.23350511491298676
heun,5,4,2,False,0.33665895462036133,0.041900478303432465,0.02226542169228196,0.28694626688957214,0.002000093460083008,0.0,0.37846964597702026,8.61435317993164,0.3869871497154236
heun,10,10,5,True,0.093985915184021,0.021680837497115135,0.019886501133441925,0.060639798641204834,0.005497455596923828,0.0,0.023570897057652473,0.1500701904296875,0.023570897057652473
heun,10,10,5,False,0.1669563502073288,0.02535986714065075,0.01953065348789096,0.12254628539085388,0.005507946014404297,0.0,0.21740223467350006,10.77579116821289,0.22102926671504974
heun,20,20,10,True,0.0818723514676094,0.02101917192339897,0.020048398058861494,0.05558955669403076,0.009507894515991211,0.0,0.002945674117654562,0.02217721939086914,0.002945674117654562
heun,20,20,10,False,0.1661090850830078,0.025168543681502342,0.019397087395191193,0.10024628043174744,0.01051640510559082,0.0,0.2060549259185791,12.588691711425781,0.21261601150035858
heun,50,50,25,True,0.08037951588630676,0.02094358392059803,0.019720359705388546,0.05458956956863403,0.028020858764648438,0.0,0.00019129035354126245,0.001384735107421875,0.00019129035354126245
heun,50,50,25,False,0.16983509063720703,0.0254314374178648,0.019754592329263687,0.09474627673625946,0.020999670028686523,0.0,0.204202339053154,13.601034164428711,0.2118891477584839
heun,100,100,50,True,0.08028914779424667,0.020980630069971085,0.019725936697795987,0.05448955297470093,0.05402684211730957,0.0,2.4390737962676212e-05,0.00020647048950195312,2.4390737962676212e-05
heun,100,100,50,False,0.1708323061466217,0.025495950132608414,0.019801414338871837,0.09404627978801727,0.04554438591003418,0.0,0.20400135219097137,13.808916091918945,0.21184824407100677
rk4,1,4,1,True,0.4308936893939972,0.05194507911801338,0.02654362376779318,0.15183982253074646,0.002000570297241211,0.0,0.39331918954849243,7.119167327880859,0.39331918954849243
rk4,1,4,1,False,0.43294045329093933,0.05715961009263992,0.029423284344375134,0.13827213644981384,0.0019981861114501953,0.0,0.4285010099411011,21.054487228393555,0.4285010099411011
