solver,target_nfe,actual_nfe,steps,project_tangent,radial_w1,sliced_w1,angular_sw_mean,ks_stat,sample_time_s,nan_rate,drift_final_mean,drift_final_max,drift_traj_max_mean
euler,1,1,1,True,0.20329438149929047,0.1475452333688736,0.019217574037611485,0.062393173575401306,0.1245276927947998,0.0,0.29497969150543213,2.751978874206543,0.29497969150543213
euler,1,1,1,False,0.15816839039325714,0.14724870026111603,0.01928969332948327,0.03504273295402527,0.0005004405975341797,0.0,0.3353898525238037,3.3597774505615234,0.3353898525238037
euler,2,2,2,True,1.2553919553756714,0.14689309895038605,0.020052362699061632,0.22564104199409485,0.0015060901641845703,0.0,1.347672939300537,4.595649719238281,1.347672939300537
euler,2,2,2,False,0.9693135619163513,0.1239764615893364,0.016551747219637036,0.2401709407567978,0.0010004043579101562,0.0,1.1164472103118896,4.419973373413086,1.1203278303146362
euler,5,5,5,True,0.8192888498306274,0.11270581930875778,0.01582806371152401,0.16239318251609802,0.0029990673065185547,0.0,0.9115698933601379,2.114866256713867,0.9115698933601379
euler,5,5,5,False,0.46162450313568115,0.09060199558734894,0.01529182936064899,0.10769231617450714,0.0025026798248291016,0.0,0.9644792079925537,3.86983585357666,0.9730585813522339
euler,10,10,10,True,0.3606134355068207,0.09145954996347427,0.014156950172036886,0.08461539447307587,0.005504131317138672,0.0,0.4528944194316864,0.9783954620361328,0.4528944194316864
euler,10,10,10,False,0.36572837829589844,0.0856923907995224,0.014761093771085143,0.07008548080921173,0.004499197006225586,0.0,0.9277997016906738,3.836625099182129,0.9398237466812134
euler,20,20,20,True,0.14008326828479767,0.08578699827194214,0.014226354425773025,0.048717960715293884,0.01050114631652832,0.0,0.22368085384368896,0.47084999084472656,0.22368085384368896
euler,20,20,20,False,0.32825806736946106,0.08439459651708603,0.013883052859455347,0.060683757066726685,0.0069997310638427734,0.0,0.9086277484893799,3.8324151039123535,0.9225574731826782
euler,50,50,50,True,0.07337862253189087,0.08435326814651489,0.014615193475037813,0.027350425720214844,0.027494430541992188,0.0,0.08866441249847412,0.1839132308959961,0.08866441249847412
euler,50,50,50,False,0.3056847155094147,0.08385077118873596,0.013333742041140795,0.053846150636672974,0.017002344131469727,0.0,0.8956761956214905,3.8275604248046875,0.9115920066833496
euler,100,100,100,True,0.08920978009700775,0.08420344442129135,0.014930240111425519,0.0307692289352417,0.050004005432128906,0.0,0.04418893903493881,0.09122371673583984,0.04418893903493881
euler,100,100,100,False,0.2981702983379364,0.08371496945619583,0.013119658688083291,0.052136749029159546,0.03749799728393555,0.0,0.8909972906112671,3.825362205505371,0.9077412486076355
heun,1,2,1,True,1.585179328918457,0.1716179996728897,0.02310980949550867,0.30512821674346924,0.0020020008087158203,0.0,1.6774604320526123,4.167743682861328,1.6774604320526123
heun,1,2,1,False,2.8222126960754395,0.2598767578601837,0.029398098587989807,0.6358974575996399,0.0014965534210205078,0.0,2.73252272605896,5.5058207511901855,2.73252272605896
heun,2,2,1,True,1.585179328918457,0.1716179996728897,0.02310980949550867,0.30512821674346924,0.0030024051666259766,0.0,1.6774604320526123,4.167743682861328,1.6774604320526123
