step,loss,elapsed_s
200,115276.0234375,0.8242127895355225
400,114119.2578125,1.4498498439788818
600,111851.046875,2.081996440887451
800,108930.859375,2.71614408493042
1000,115942.734375,3.3747928142547607
1200,118019.609375,4.022963523864746
1400,113882.859375,4.678612232208252
1600,111646.75,5.320321321487427
1800,117754.7421875,5.950947999954224
2000,107054.3203125,6.59558892250061
2200,112606.125,7.240762233734131
2400,109341.5546875,7.876913070678711
2600,109738.546875,8.523071050643921
2800,111888.3828125,9.159209251403809
3000,107985.296875,9.801366090774536
3200,109268.3984375,10.44053840637207
3400,109135.3671875,11.083674192428589
3600,109039.3359375,11.735834121704102
3800,110619.25,12.371458768844604
4000,108053.46875,13.016130208969116
4200,107917.65625,13.652274370193481
4400,107250.671875,14.336418390274048
4600,104363.328125,14.980604410171509
4800,108990.6640625,15.636773586273193
5000,106927.8125,16.270406007766724
5200,108543.765625,16.920605421066284
5400,109663.8046875,17.582794189453125
5600,108755.0625,18.228466272354126
5800,106543.7734375,18.889612913131714
6000,108806.1875,19.530779600143433
6200,108070.6015625,20.176933526992798
6400,106693.9453125,20.82511281967163
6600,104584.0390625,21.465758562088013
6800,108560.2578125,22.10241436958313
7000,103155.359375,22.75008726119995
7200,104638.3125,23.38574981689453
7400,112877.59375,24.02139949798584
7600,106305.6796875,24.69358777999878
7800,103504.953125,25.367329835891724
8000,103636.6484375,26.03000831604004
8200,104487.203125,26.727745294570923
8400,105462.40625,27.398926734924316
8600,104800.84375,28.037592887878418
8800,107513.7265625,28.692246198654175
9000,106255.953125,29.32690119743347
9200,101741.703125,29.971527576446533
9400,102784.4140625,30.660715103149414
9600,105614.734375,31.30337119102478
9800,109639.6796875,31.94552206993103
10000,106755.421875,32.59566903114319
