step,loss,elapsed_s
200,49050.0859375,0.8697233200073242
400,92609.7421875,1.4803590774536133
600,276776.84375,2.0870044231414795
800,51653.421875,2.7151479721069336
1000,45924.09765625,3.3713254928588867
1200,190578.75,4.013487815856934
1400,83417.46875,4.673140048980713
1600,149922.5625,5.329799652099609
1800,40475.1171875,5.976448059082031
2000,198414.875,6.638091087341309
2200,42840.53515625,7.310249328613281
2400,75756.78125,8.00840950012207
2600,203607.046875,8.686080694198608
2800,96157.984375,9.345221757888794
3000,32640.111328125,10.000885009765625
3200,79952.375,10.659072637557983
3400,50874.76953125,11.318222045898438
3600,110381.671875,11.967884302139282
3800,251973.21875,12.611504554748535
4000,95321.203125,13.269670009613037
4200,47456.828125,13.908798694610596
4400,213378.453125,14.546936511993408
4600,123936.8203125,15.193085193634033
4800,112146.53125,15.840728282928467
5000,46450.875,16.477423667907715
5200,51051.99609375,17.123064756393433
5400,75611.640625,17.779749870300293
5600,45411.4375,18.442389965057373
5800,264751.6875,19.11057472229004
6000,139261.875,19.757732152938843
6200,43248.234375,20.404884338378906
6400,202593.875,21.046047687530518
6600,84760.15625,21.691697597503662
6800,97131.640625,22.33381986618042
7000,194944.5625,23.0034818649292
7200,54185.8046875,23.664123058319092
7400,51600.38671875,24.34030032157898
7600,183892.921875,25.0024573802948
7800,36226.2265625,25.65111231803894
8000,50315.96875,26.30578327178955
8200,37913.8828125,26.94641900062561
8400,74759.46875,27.61106562614441
8600,87243.234375,28.259719610214233
8800,59984.59375,28.951873302459717
9000,181569.828125,29.619056463241577
9200,144921.375,30.275719165802002
9400,41146.86328125,30.932891130447388
9600,175686.28125,31.601089239120483
9800,133622.3125,32.24872136116028
10000,64526.171875,32.89438819885254
