step,loss,elapsed_s
200,10709.044921875,0.7797057628631592
400,7021.37890625,1.3813507556915283
600,9052.44140625,1.9784824848175049
800,7271.3466796875,2.6076149940490723
1000,5239.86181640625,3.241762638092041
1200,7652.15478515625,3.914975643157959
1400,6276.4091796875,4.549611568450928
1600,7688.447265625,5.190778493881226
1800,5393.71728515625,5.835958242416382
2000,6823.4072265625,6.483142852783203
2200,5139.75,7.125774145126343
2400,4677.892578125,7.761398792266846
2600,9657.7197265625,8.394592761993408
2800,4623.349609375,9.032240152359009
3000,6923.37744140625,9.674898386001587
3200,6881.07421875,10.335580110549927
3400,12826.5390625,10.983731269836426
3600,5388.1376953125,11.627875804901123
3800,13517.630859375,12.295579671859741
4000,4466.6953125,12.982271671295166
4200,6140.01220703125,13.61691403388977
4400,7976.28759765625,14.262566089630127
4600,6160.74560546875,14.920239448547363
4800,9200.4697265625,15.568463563919067
5000,4629.69140625,16.212621927261353
5200,6531.6767578125,16.892778635025024
5400,4813.9404296875,17.536406993865967
5600,5781.76611328125,18.185092449188232
5800,4389.68896484375,18.80473279953003
6000,8849.3203125,19.446382761001587
6200,8317.6328125,20.09053134918213
6400,11706.2919921875,20.74367117881775
6600,5936.4873046875,21.387856006622314
6800,5408.46533203125,22.020984649658203
7000,4388.70556640625,22.67513656616211
7200,7712.04931640625,23.32183814048767
7400,6394.2421875,24.00301218032837
7600,4612.31591796875,24.66519260406494
7800,6274.4736328125,25.30638599395752
8000,7346.640625,25.9505615234375
8200,5206.24609375,26.590736150741577
8400,5617.83203125,27.230399131774902
8600,5085.140625,27.87204647064209
8800,4629.2236328125,28.54124093055725
9000,6465.212890625,29.186379432678223
9200,5688.3037109375,29.839006423950195
9400,5436.14013671875,30.477164030075073
9600,5052.04541015625,31.113818883895874
9800,4820.54150390625,31.752468585968018
10000,9247.689453125,32.41064500808716
