step,loss,elapsed_s
500,-7.958712577819824,990.3242001533508
1000,-9.744731903076172,1976.2572338581085
1500,-8.929437637329102,2961.6527750492096
2000,-8.909157752990723,3945.380264520645
2500,-9.682723999023438,4931.751816987991
3000,-9.670872688293457,5910.794764518738
2500,-9.705080032348633,4914.873509168625
3000,-10.808992385864258,5863.980236291885
3500,-9.78387451171875,6813.967800617218
4000,-9.5501708984375,7771.869355678558
4500,-10.040289878845215,8741.954191446304
5000,-9.99447250366211,9712.492937326431
5500,-9.79948616027832,10680.55634689331
6000,-9.822933197021484,11651.71044754982
6500,-9.735234260559082,12616.38009095192
7000,-11.17276382446289,13580.551493167877
7500,-10.038419723510742,14533.350536108017
8000,-10.06973648071289,15484.143515348434
8500,-10.702238082885742,16431.78335571289
9000,-10.198282241821289,17379.365772008896
9500,-10.699027061462402,18342.155158758163
10000,-10.107551574707031,19307.35061454773
