step,loss,elapsed_s
500,-10.730515480041504,984.8837995529175
1000,-15.400907516479492,1971.4457168579102
1500,-17.893390655517578,2959.569005012512
2000,-20.56039810180664,4022.4944388866425
2500,-20.693878173828125,5086.6514048576355
3000,-20.35361671447754,6156.013610839844
3500,-19.469926834106445,7178.313899517059
4000,-22.008554458618164,8173.0615129470825
4500,-23.161819458007812,9164.387670516968
5000,-26.542400360107422,10161.953085184097
5500,-23.343015670776367,11147.443478822708
6000,-25.320327758789062,12132.83402633667
6500,-26.782489776611328,13132.825140714645
7000,-26.625930786132812,14166.859034538269
7500,-25.608661651611328,15171.646632432938
8000,-25.570419311523438,16177.874597787857
8500,-25.959712982177734,17170.906631946564
9000,-26.595905303955078,18158.159452676773
9500,-28.030994415283203,19146.127123355865
10000,-28.52475929260254,20134.722992658615
