method,metric,mean,std,n_seeds
gaussian_fm,angular_sw_bin0,0.0285024,0.000673055,3
gaussian_fm,angular_sw_bin1,0.029924,0.00225787,3
gaussian_fm,angular_sw_bin2,0.0219669,0.000981226,3
gaussian_fm,angular_sw_bin3,0.0199346,0.00173326,3
gaussian_fm,angular_sw_mean,0.025082,0.00110673,3
gaussian_fm,exploding_norm_rate,0,0,3
gaussian_fm,invalid_rate,0,0,3
gaussian_fm,ks_stat,0.163121,0.00445634,3
gaussian_fm,mmd,0.0074168,0.00082354,3
gaussian_fm,nan_rate,0,0,3
gaussian_fm,nfe,512,0,3
gaussian_fm,q950_err,0.0314192,0.0102367,3
gaussian_fm,q990_err,0.0302283,0.00807347,3
gaussian_fm,q995_err,0.0231292,0.0156678,3
gaussian_fm,radial_w1,0.191608,0.0135466,3
gaussian_fm,sample_time_s,0.16187,0.0165585,3
gaussian_fm,sliced_w1,0.0353027,0.00139566,3
gaussian_fm,tail_exc_95,0.00796667,0.00233,3
gaussian_fm,tail_exc_99,0.00233333,0.000329983,3
gaussian_fm,total_train_time_s,17.0619,0.297046,3
rafm_empirical,angular_sw_bin0,0.029373,0.00118329,3
rafm_empirical,angular_sw_bin1,0.0269698,0.00205812,3
rafm_empirical,angular_sw_bin2,0.0194147,0.00138561,3
rafm_empirical,angular_sw_bin3,0.0148791,0.00125075,3
rafm_empirical,angular_sw_mean,0.0226591,0.000160017,3
rafm_empirical,exploding_norm_rate,0,0,3
rafm_empirical,invalid_rate,0,0,3
rafm_empirical,ks_stat,0.0469055,0.00264875,3
rafm_empirical,mmd,0.00370189,0.000340962,3
rafm_empirical,nan_rate,0,0,3
rafm_empirical,nfe,512,0,3
rafm_empirical,q950_err,0.0235773,0.00666953,3
rafm_empirical,q990_err,0.0252608,0.00351333,3
rafm_empirical,q995_err,0.0563281,0.00955807,3
rafm_empirical,radial_w1,0.0482178,0.00186689,3
rafm_empirical,sample_time_s,0.291076,0.0233395,3
rafm_empirical,sliced_w1,0.0251022,0.000557551,3
rafm_empirical,tail_exc_95,0.0046,0.00115758,3
rafm_empirical,tail_exc_99,0.0008,0.000294392,3
rafm_empirical,total_train_time_s,32.8911,0.293653,3
source_only_empirical,angular_sw_bin0,0.0299069,0.00270575,3
source_only_empirical,angular_sw_bin1,0.0284204,0.00307502,3
source_only_empirical,angular_sw_bin2,0.0201966,0.000154966,3
source_only_empirical,angular_sw_bin3,0.0146517,0.00122743,3
source_only_empirical,angular_sw_mean,0.0232939,0.00168663,3
source_only_empirical,exploding_norm_rate,0,0,3
source_only_empirical,invalid_rate,0,0,3
source_only_empirical,ks_stat,0.115816,0.011917,3
source_only_empirical,mmd,0.00413565,0.00145976,3
source_only_empirical,nan_rate,0,0,3
source_only_empirical,nfe,512,0,3
source_only_empirical,q950_err,0.0290335,0.00682256,3
source_only_empirical,q990_err,0.0283668,0.00897799,3
source_only_empirical,q995_err,0.0725023,0.0122996,3
source_only_empirical,radial_w1,0.117656,0.0118618,3
source_only_empirical,sample_time_s,0.176707,0.00754976,3
source_only_empirical,sliced_w1,0.0252037,0.00279803,3
source_only_empirical,tail_exc_95,0.00856667,0.00206774,3
source_only_empirical,tail_exc_99,0.0018,0.000535413,3
source_only_empirical,total_train_time_s,18.0665,0.12764,3
