dim,method,metric,mean,std,n_seeds
2.0,gaussian_fm,angular_sw_bin0,0.0444874,0.00292739,3
2.0,gaussian_fm,angular_sw_bin1,0.0396702,0.0141006,3
2.0,gaussian_fm,angular_sw_bin2,0.0306225,0.00585012,3
2.0,gaussian_fm,angular_sw_bin3,0.0235211,0.0134585,3
2.0,gaussian_fm,angular_sw_mean,0.0345753,0.00549204,3
2.0,gaussian_fm,exploding_norm_rate,0,0,3
2.0,gaussian_fm,invalid_rate,0,0,3
2.0,gaussian_fm,ks_stat,0.0117667,0.00307064,3
2.0,gaussian_fm,mmd,0.000205795,8.81796e-05,3
2.0,gaussian_fm,nan_rate,0,0,3
2.0,gaussian_fm,nfe,512,0,3
2.0,gaussian_fm,q950_err,0.017316,0.0131826,3
2.0,gaussian_fm,q990_err,0.0431259,0.0430243,3
2.0,gaussian_fm,q995_err,0.0659041,0.0737413,3
2.0,gaussian_fm,radial_w1,0.0132047,0.0023675,3
2.0,gaussian_fm,sample_time_s,0.135363,0.00680183,3
2.0,gaussian_fm,sliced_w1,0.017187,0.00279353,3
2.0,gaussian_fm,tail_exc_95,0.00273333,0.00204179,3
2.0,gaussian_fm,tail_exc_99,0.00126667,0.00126842,3
2.0,gaussian_fm,total_train_time_s,17.1979,0.0559677,3
2.0,rafm_empirical,angular_sw_bin0,0.816925,0.0110739,2
2.0,rafm_empirical,angular_sw_bin1,0.865393,0.0155567,2
2.0,rafm_empirical,angular_sw_bin2,0.867257,0.0180612,3
2.0,rafm_empirical,angular_sw_bin3,0.686778,0.0919393,3
2.0,rafm_empirical,angular_sw_mean,0.80857,0.022487,3
2.0,rafm_empirical,exploding_norm_rate,0,0,3
2.0,rafm_empirical,invalid_rate,0,0,3
2.0,rafm_empirical,ks_stat,0.2681,0.305171,3
2.0,rafm_empirical,mmd,0.344202,0.133404,3
2.0,rafm_empirical,nan_rate,0,0,3
2.0,rafm_empirical,nfe,512,0,3
2.0,rafm_empirical,q950_err,0.0350257,0.0367912,3
2.0,rafm_empirical,q990_err,0.0264252,0.0124549,3
2.0,rafm_empirical,q995_err,0.0548826,0.0138721,3
2.0,rafm_empirical,radial_w1,0.133975,0.169631,3
2.0,rafm_empirical,sample_time_s,0.282564,0.0193142,3
2.0,rafm_empirical,sliced_w1,0.466675,0.102506,3
2.0,rafm_empirical,tail_exc_95,0.00453333,0.00510446,3
2.0,rafm_empirical,tail_exc_99,0.000566667,0.000188562,3
2.0,rafm_empirical,total_train_time_s,65.0912,0.0750111,3
2.0,rafm_oracle,angular_sw_bin0,0.840301,0.0081445,2
2.0,rafm_oracle,angular_sw_bin1,0.862062,0.0117574,2
2.0,rafm_oracle,angular_sw_bin2,0.861297,0.016893,3
2.0,rafm_oracle,angular_sw_bin3,0.683609,0.0847819,3
2.0,rafm_oracle,angular_sw_mean,0.807997,0.0191393,3
2.0,rafm_oracle,exploding_norm_rate,0,0,3
2.0,rafm_oracle,invalid_rate,0,0,3
2.0,rafm_oracle,ks_stat,0.2692,0.304156,3
2.0,rafm_oracle,mmd,0.349241,0.135829,3
2.0,rafm_oracle,nan_rate,0,0,3
2.0,rafm_oracle,nfe,512,0,3
2.0,rafm_oracle,q950_err,0.0447315,0.0224676,3
2.0,rafm_oracle,q990_err,0.0298049,0.00916548,3
2.0,rafm_oracle,q995_err,0.0183785,0.00997328,3
2.0,rafm_oracle,radial_w1,0.132101,0.169181,3
2.0,rafm_oracle,sample_time_s,0.281243,0.0438406,3
2.0,rafm_oracle,sliced_w1,0.468389,0.0908378,3
2.0,rafm_oracle,tail_exc_95,0.00693333,0.00383087,3
2.0,rafm_oracle,tail_exc_99,0.00156667,0.000492161,3
2.0,rafm_oracle,total_train_time_s,66.8402,1.53096,3
2.0,source_only_empirical,angular_sw_bin0,0.078143,0.0212344,3
2.0,source_only_empirical,angular_sw_bin1,0.0940598,0.0330377,3
2.0,source_only_empirical,angular_sw_bin2,0.0333225,0.0151102,3
2.0,source_only_empirical,angular_sw_bin3,0.0175951,0.002988,3
2.0,source_only_empirical,angular_sw_mean,0.0557801,0.0170633,3
2.0,source_only_empirical,exploding_norm_rate,0,0,3
2.0,source_only_empirical,invalid_rate,0,0,3
2.0,source_only_empirical,ks_stat,0.0243,0.0053796,3
2.0,source_only_empirical,mmd,0.000794848,0.000659561,3
2.0,source_only_empirical,nan_rate,0,0,3
2.0,source_only_empirical,nfe,512,0,3
2.0,source_only_empirical,q950_err,0.0249102,0.00106386,3
2.0,source_only_empirical,q990_err,0.0311964,0.0140454,3
2.0,source_only_empirical,q995_err,0.0600184,0.00912129,3
2.0,source_only_empirical,radial_w1,0.018637,0.00179907,3
2.0,source_only_empirical,sample_time_s,0.168861,0.0024978,3
2.0,source_only_empirical,sliced_w1,0.0230546,0.0068758,3
2.0,source_only_empirical,tail_exc_95,0.00333333,0.000758653,3
2.0,source_only_empirical,tail_exc_99,0.000966667,0.000262467,3
2.0,source_only_empirical,total_train_time_s,18.2248,0.128208,3
8.0,gaussian_fm,angular_sw_bin0,0.0170685,0.00530943,3
8.0,gaussian_fm,angular_sw_bin1,0.0195149,0.00439173,3
8.0,gaussian_fm,angular_sw_bin2,0.0210794,0.00667273,3
8.0,gaussian_fm,angular_sw_bin3,0.0169316,0.00267829,3
8.0,gaussian_fm,angular_sw_mean,0.0186486,0.00385873,3
8.0,gaussian_fm,exploding_norm_rate,0,0,3
8.0,gaussian_fm,invalid_rate,0,0,3
8.0,gaussian_fm,ks_stat,0.0285,0.00933846,3
8.0,gaussian_fm,mmd,0.000553767,0.00014806,3
8.0,gaussian_fm,nan_rate,0,0,3
8.0,gaussian_fm,nfe,512,0,3
8.0,gaussian_fm,q950_err,0.0270246,0.0164478,3
8.0,gaussian_fm,q990_err,0.0600941,0.0555636,3
8.0,gaussian_fm,q995_err,0.0448987,0.0469052,3
8.0,gaussian_fm,radial_w1,0.410911,0.11793,3
8.0,gaussian_fm,sample_time_s,0.149864,0.000464971,3
8.0,gaussian_fm,sliced_w1,0.205384,0.0234168,3
8.0,gaussian_fm,tail_exc_95,0.00386667,0.00242808,3
8.0,gaussian_fm,tail_exc_99,0.00216667,0.00159234,3
8.0,gaussian_fm,total_train_time_s,17.1423,0.0595573,3
8.0,rafm_empirical,angular_sw_bin0,0.0168042,0.000811738,3
8.0,rafm_empirical,angular_sw_bin1,0.013416,0.000529603,3
8.0,rafm_empirical,angular_sw_bin2,0.0169045,0.00271699,3
8.0,rafm_empirical,angular_sw_bin3,0.0180876,0.00243625,3
8.0,rafm_empirical,angular_sw_mean,0.0163031,0.000988789,3
8.0,rafm_empirical,exploding_norm_rate,0,0,3
8.0,rafm_empirical,invalid_rate,0,0,3
8.0,rafm_empirical,ks_stat,0.0118333,0.00284058,3
8.0,rafm_empirical,mmd,0.000331203,4.09847e-05,3
