n_train,method,metric,mean,std,n_seeds
500,gaussian_fm,radial_w1,0.939451,0.199055,3
500,gaussian_fm,sliced_w1,0.482861,0.005982,3
500,rafm_empirical_ecdf,radial_w1,0.884451,0.0938071,3
500,rafm_empirical_ecdf,sliced_w1,0.497777,0.0679428,3
500,rafm_oracle,radial_w1,1.40768,0.206759,3
500,rafm_oracle,sliced_w1,0.517424,0.0247374,3
500,source_only_empirical_ecdf,radial_w1,0.759242,0.0763024,3
500,source_only_empirical_ecdf,sliced_w1,0.48188,0.0851818,3
500,source_only_empirical_log,radial_w1,0.756588,0.0765203,3
500,source_only_empirical_log,sliced_w1,0.481374,0.0851338,3
500,source_only_oracle,radial_w1,0.96384,0.0303609,3
500,source_only_oracle,sliced_w1,0.4829,0.0521373,3
1000,gaussian_fm,radial_w1,1.12315,0.106704,3
1000,gaussian_fm,sliced_w1,0.41112,0.0187492,3
1000,rafm_empirical_ecdf,radial_w1,0.962494,0.034799,3
1000,rafm_empirical_ecdf,sliced_w1,0.388592,0.0474155,3
1000,rafm_oracle,radial_w1,0.913641,0.0621992,3
1000,rafm_oracle,sliced_w1,0.412597,0.0892981,3
1000,source_only_empirical_ecdf,radial_w1,0.974557,0.0339602,3
1000,source_only_empirical_ecdf,sliced_w1,0.420057,0.0202978,3
1000,source_only_empirical_log,radial_w1,0.976706,0.0338341,3
1000,source_only_empirical_log,sliced_w1,0.420222,0.0201946,3
1000,source_only_oracle,radial_w1,0.69442,0.0558823,3
1000,source_only_oracle,sliced_w1,0.42655,0.0524206,3
5000,gaussian_fm,radial_w1,1.46252,0.0668709,3
5000,gaussian_fm,sliced_w1,0.348476,0.0403722,3
5000,rafm_empirical_ecdf,radial_w1,0.400382,0.00473758,3
5000,rafm_empirical_ecdf,sliced_w1,0.247131,0.0114058,3
5000,rafm_oracle,radial_w1,0.415797,0.0411023,3
5000,rafm_oracle,sliced_w1,0.281048,0.0243391,3
5000,source_only_empirical_ecdf,radial_w1,0.354223,0.00721172,3
5000,source_only_empirical_ecdf,sliced_w1,0.289551,0.0313723,3
5000,source_only_empirical_log,radial_w1,0.354304,0.00720891,3
5000,source_only_empirical_log,sliced_w1,0.289552,0.03137,3
5000,source_only_oracle,radial_w1,0.31351,0.0470178,3
5000,source_only_oracle,sliced_w1,0.298938,0.0558344,3
20000,gaussian_fm,radial_w1,1.54108,0.198435,3
20000,gaussian_fm,sliced_w1,0.409464,0.0550948,3
20000,rafm_empirical_ecdf,radial_w1,0.389115,0.0333015,3
20000,rafm_empirical_ecdf,sliced_w1,0.225623,0.0129609,3
20000,rafm_oracle,radial_w1,0.367488,0.0616991,3
20000,rafm_oracle,sliced_w1,0.221619,0.0062862,3
20000,source_only_empirical_ecdf,radial_w1,0.322988,0.0252188,3
20000,source_only_empirical_ecdf,sliced_w1,0.340785,0.0506215,3
20000,source_only_empirical_log,radial_w1,0.322982,0.0252092,3
20000,source_only_empirical_log,sliced_w1,0.340768,0.0506142,3
20000,source_only_oracle,radial_w1,0.314807,0.0638648,3
20000,source_only_oracle,sliced_w1,0.327926,0.0405279,3
50000,gaussian_fm,radial_w1,1.55139,0.421335,3
50000,gaussian_fm,sliced_w1,0.526371,0.04692,3
50000,rafm_empirical_ecdf,radial_w1,0.371125,0.0733916,3
50000,rafm_empirical_ecdf,sliced_w1,0.257023,0.00872895,3
50000,rafm_oracle,radial_w1,0.376008,0.101839,3
50000,rafm_oracle,sliced_w1,0.2701,0.0229034,3
50000,source_only_empirical_ecdf,radial_w1,0.278043,0.0407503,3
50000,source_only_empirical_ecdf,sliced_w1,0.327644,0.0244463,3
50000,source_only_empirical_log,radial_w1,0.277977,0.0407224,3
50000,source_only_empirical_log,sliced_w1,0.327628,0.0244584,3
50000,source_only_oracle,radial_w1,0.313524,0.0946771,3
50000,source_only_oracle,sliced_w1,0.355004,0.022299,3
