df,method,metric,mean,std,n_seeds
1.5,gaussian_fm,angular_sw_bin1,0.114983,0.0123552,3
1.5,gaussian_fm,angular_sw_bin2,0.101926,0.00533434,3
1.5,gaussian_fm,angular_sw_bin3,0.109953,0.013279,3
1.5,gaussian_fm,angular_sw_mean,0.108954,0.0100317,3
1.5,gaussian_fm,exploding_norm_rate,0,0,3
1.5,gaussian_fm,invalid_rate,0,0,3
1.5,gaussian_fm,ks_stat,0.614167,0.0234177,3
1.5,gaussian_fm,mmd,0.129118,0.0314308,3
1.5,gaussian_fm,nan_rate,0,0,3
1.5,gaussian_fm,nfe,512,0,3
1.5,gaussian_fm,q950_err,0.379673,0.0197971,3
1.5,gaussian_fm,q990_err,0.729384,0.0129647,3
1.5,gaussian_fm,q995_err,0.808043,0.0111402,3
1.5,gaussian_fm,radial_w1,44.2654,2.16717,3
1.5,gaussian_fm,sample_time_s,0.167858,0.0178308,3
1.5,gaussian_fm,sliced_w1,11.1741,1.04789,3
1.5,gaussian_fm,tail_exc_95,0.0498333,0.000235702,3
1.5,gaussian_fm,tail_exc_99,0.01,0,3
1.5,gaussian_fm,total_train_time_s,17.2181,0.0736544,3
1.5,rafm_empirical,angular_sw_bin0,0.0471893,0.00376345,3
1.5,rafm_empirical,angular_sw_bin1,0.0332551,0.0029013,3
1.5,rafm_empirical,angular_sw_bin2,0.031769,0.00502406,3
1.5,rafm_empirical,angular_sw_bin3,0.0317247,0.00271837,3
1.5,rafm_empirical,angular_sw_mean,0.0359845,0.00135649,3
1.5,rafm_empirical,exploding_norm_rate,0.000433333,0.000262467,3
1.5,rafm_empirical,invalid_rate,0.000433333,0.000262467,3
1.5,rafm_empirical,ks_stat,0.0153334,0.00122566,3
1.5,rafm_empirical,mmd,0.00346963,0.000541038,3
1.5,rafm_empirical,nan_rate,0,0,3
1.5,rafm_empirical,nfe,512,0,3
1.5,rafm_empirical,q950_err,0.0349377,0.0183388,3
1.5,rafm_empirical,q990_err,0.0737445,0.0292819,3
1.5,rafm_empirical,q995_err,0.187154,0.138021,3
1.5,rafm_empirical,radial_w1,4.02068,1.06036,3
1.5,rafm_empirical,sample_time_s,0.250729,0.00317133,3
1.5,rafm_empirical,sliced_w1,2.85825,0.0857635,3
1.5,rafm_empirical,tail_exc_95,0.00213333,0.0010403,3
1.5,rafm_empirical,tail_exc_99,0.0012,0.000588784,3
1.5,rafm_empirical,total_train_time_s,32.86,0.193799,3
1.5,rafm_oracle,angular_sw_bin0,0.0495996,0.00306334,3
1.5,rafm_oracle,angular_sw_bin1,0.0339652,0.00266465,3
1.5,rafm_oracle,angular_sw_bin2,0.0315889,0.00313955,3
1.5,rafm_oracle,angular_sw_bin3,0.0311933,0.00419511,3
1.5,rafm_oracle,angular_sw_mean,0.0365867,0.00157392,3
1.5,rafm_oracle,exploding_norm_rate,0.000433333,9.42809e-05,3
1.5,rafm_oracle,invalid_rate,0.000433333,9.42809e-05,3
1.5,rafm_oracle,ks_stat,0.0151333,0.000623612,3
1.5,rafm_oracle,mmd,0.00342687,0.000422732,3
1.5,rafm_oracle,nan_rate,0,0,3
1.5,rafm_oracle,nfe,512,0,3
1.5,rafm_oracle,q950_err,0.0300038,0.00316335,3
1.5,rafm_oracle,q990_err,0.074849,0.015529,3
1.5,rafm_oracle,q995_err,0.0450515,0.0489841,3
1.5,rafm_oracle,radial_w1,4.19103,0.287726,3
1.5,rafm_oracle,sample_time_s,0.25705,0.042376,3
1.5,rafm_oracle,sliced_w1,2.90732,0.291228,3
1.5,rafm_oracle,tail_exc_95,0.00246667,0.00049216,3
1.5,rafm_oracle,tail_exc_99,0.00143333,0.000235702,3
1.5,rafm_oracle,total_train_time_s,32.8164,0.240537,3
1.5,source_only_empirical,angular_sw_bin0,0.0366918,0.00486278,3
1.5,source_only_empirical,angular_sw_bin1,0.027411,0.00260249,3
1.5,source_only_empirical,angular_sw_bin2,0.0297768,0.004771,3
1.5,source_only_empirical,angular_sw_bin3,0.0369202,0.00406221,3
1.5,source_only_empirical,angular_sw_mean,0.0326999,0.00355225,3
1.5,source_only_empirical,exploding_norm_rate,0.0004,8.16497e-05,3
1.5,source_only_empirical,invalid_rate,0.0004,8.16497e-05,3
1.5,source_only_empirical,ks_stat,0.0684666,0.0183596,3
1.5,source_only_empirical,mmd,0.00393709,0.00119534,3
1.5,source_only_empirical,nan_rate,0,0,3
1.5,source_only_empirical,nfe,512,0,3
1.5,source_only_empirical,q950_err,0.0609458,0.0417282,3
1.5,source_only_empirical,q990_err,0.140731,0.10641,3
1.5,source_only_empirical,q995_err,0.195948,0.121122,3
1.5,source_only_empirical,radial_w1,8.65085,1.74663,3
1.5,source_only_empirical,sample_time_s,0.162868,0.00524471,3
1.5,source_only_empirical,sliced_w1,3.38559,0.4723,3
1.5,source_only_empirical,tail_exc_95,0.00413333,0.00294882,3
1.5,source_only_empirical,tail_exc_99,0.00203333,0.00135974,3
1.5,source_only_empirical,total_train_time_s,18.131,0.103631,3
2.0,gaussian_fm,angular_sw_bin0,0.0621252,0.0122212,3
2.0,gaussian_fm,angular_sw_bin1,0.0327987,0.00392175,3
2.0,gaussian_fm,angular_sw_bin2,0.0322693,0.00917368,3
2.0,gaussian_fm,angular_sw_bin3,0.0487912,0.0218383,3
2.0,gaussian_fm,angular_sw_mean,0.0439961,0.0100051,3
