kappa,method,metric,mean,std,n_seeds
1.0,gaussian_fm,angular_sw_bin0,0.00850816,0.00011734,3
1.0,gaussian_fm,angular_sw_bin1,0.00829158,0.000538183,3
1.0,gaussian_fm,angular_sw_bin2,0.0090276,0.000678201,3
1.0,gaussian_fm,angular_sw_bin3,0.00951521,0.00059547,3
1.0,gaussian_fm,angular_sw_mean,0.00883564,4.20209e-05,3
1.0,gaussian_fm,exploding_norm_rate,0,0,3
1.0,gaussian_fm,invalid_rate,0,0,3
1.0,gaussian_fm,ks_stat,0.0148667,0.00436068,3
1.0,gaussian_fm,mmd,0.000333389,2.96243e-06,3
1.0,gaussian_fm,n_params,41504,0,3
1.0,gaussian_fm,nan_rate,0,0,3
1.0,gaussian_fm,nfe,512,0,3
1.0,gaussian_fm,q950_err,0.00341581,0.00209666,3
1.0,gaussian_fm,q990_err,0.00415815,0.00213732,3
1.0,gaussian_fm,q995_err,0.00492873,0.00494184,3
1.0,gaussian_fm,radial_w1,0.0182065,0.00414104,3
1.0,gaussian_fm,sample_time_s,0.171335,0.0196002,3
1.0,gaussian_fm,sliced_w1,0.0305469,0.000832906,3
1.0,gaussian_fm,tail_exc_95,0.00266667,0.00174611,3
1.0,gaussian_fm,tail_exc_99,0.0011,0.000668331,3
1.0,gaussian_fm,total_train_time_s,17.9945,0.245106,3
1.0,rafm_empirical,angular_sw_bin0,0.00860919,8.60627e-05,3
1.0,rafm_empirical,angular_sw_bin1,0.00790918,0.000456753,3
1.0,rafm_empirical,angular_sw_bin2,0.00845979,0.000123627,3
1.0,rafm_empirical,angular_sw_bin3,0.00811421,1.56552e-05,3
1.0,rafm_empirical,angular_sw_mean,0.0082731,0.000103409,3
1.0,rafm_empirical,exploding_norm_rate,0,0,3
1.0,rafm_empirical,invalid_rate,0,0,3
1.0,rafm_empirical,ks_stat,0.00966666,0.00129185,3
1.0,rafm_empirical,mmd,0.000138044,1.19483e-05,3
1.0,rafm_empirical,n_params,41504,0,3
1.0,rafm_empirical,nan_rate,0,0,3
1.0,rafm_empirical,nfe,512,0,3
1.0,rafm_empirical,q950_err,0.00533037,0.00133762,3
1.0,rafm_empirical,q990_err,0.00267061,0.00131749,3
1.0,rafm_empirical,q995_err,0.00565693,0.0021611,3
1.0,rafm_empirical,radial_w1,0.0101669,0.00158377,3
1.0,rafm_empirical,sample_time_s,0.310832,0.047886,3
1.0,rafm_empirical,sliced_w1,0.0214808,0.000811252,3
1.0,rafm_empirical,tail_exc_95,0.00416667,0.00102089,3
1.0,rafm_empirical,tail_exc_99,0.000466666,0.000235702,3
1.0,rafm_empirical,total_train_time_s,35.628,0.0794861,3
1.0,source_only_empirical,angular_sw_bin0,0.00937707,0.000710012,3
1.0,source_only_empirical,angular_sw_bin1,0.00826316,0.000674191,3
1.0,source_only_empirical,angular_sw_bin2,0.00883961,0.000596662,3
1.0,source_only_empirical,angular_sw_bin3,0.00933998,0.000886653,3
1.0,source_only_empirical,angular_sw_mean,0.00895495,0.000287732,3
1.0,source_only_empirical,exploding_norm_rate,0,0,3
1.0,source_only_empirical,invalid_rate,0,0,3
1.0,source_only_empirical,ks_stat,0.0148,0.0039149,3
1.0,source_only_empirical,mmd,0.000345031,3.27919e-05,3
1.0,source_only_empirical,n_params,41504,0,3
1.0,source_only_empirical,nan_rate,0,0,3
1.0,source_only_empirical,nfe,512,0,3
1.0,source_only_empirical,q950_err,0.00484051,0.00121984,3
1.0,source_only_empirical,q990_err,0.00514641,0.00208816,3
1.0,source_only_empirical,q995_err,0.00383443,0.00331339,3
1.0,source_only_empirical,radial_w1,0.0151501,0.00335247,3
1.0,source_only_empirical,sample_time_s,0.188499,0.0162836,3
1.0,source_only_empirical,sliced_w1,0.0303195,0.00161438,3
1.0,source_only_empirical,tail_exc_95,0.00366667,0.00105304,3
1.0,source_only_empirical,tail_exc_99,0.00103333,0.00063421,3
1.0,source_only_empirical,total_train_time_s,18.9162,0.12296,3
3.0,gaussian_fm,angular_sw_bin0,0.0106448,0.0008998,3
3.0,gaussian_fm,angular_sw_bin1,0.00918675,0.000388684,3
3.0,gaussian_fm,angular_sw_bin2,0.00901309,0.000757779,3
3.0,gaussian_fm,angular_sw_bin3,0.00905204,0.000655489,3
3.0,gaussian_fm,angular_sw_mean,0.00947417,0.000525128,3
3.0,gaussian_fm,exploding_norm_rate,0,0,3
3.0,gaussian_fm,invalid_rate,0,0,3
3.0,gaussian_fm,ks_stat,0.143,0.0246424,3
3.0,gaussian_fm,mmd,0.000858386,0.000194074,3
