method,metric,mean,std,n_seeds
gaussian_fm,angular_sw_bin0,0.0204937,0.00219895,3
gaussian_fm,angular_sw_bin1,0.0195019,0.00192655,3
gaussian_fm,angular_sw_bin2,0.0251925,0.00547552,3
gaussian_fm,angular_sw_bin3,0.0285909,0.00473476,3
gaussian_fm,angular_sw_mean,0.0234448,0.00298156,3
gaussian_fm,exploding_norm_rate,0,0,3
gaussian_fm,invalid_rate,0,0,3
gaussian_fm,ks_stat,0.174533,0.0626963,3
gaussian_fm,mmd,0.00440725,0.00287596,3
gaussian_fm,nan_rate,0,0,3
gaussian_fm,nfe,512,0,3
gaussian_fm,q950_err,0.0614734,0.0218993,3
gaussian_fm,q990_err,0.2927,0.0248971,3
gaussian_fm,q995_err,0.39289,0.0236851,3
gaussian_fm,radial_w1,3.3415,0.907378,3
gaussian_fm,sample_time_s,0.240235,0.0340411,3
gaussian_fm,sliced_w1,0.759488,0.231462,3
gaussian_fm,tail_exc_95,0.0209,0.00714749,3
gaussian_fm,tail_exc_99,0.01,0,3
gaussian_fm,total_train_time_s,18.3376,0.159863,3
msgm,angular_sw_bin0,0.0160508,0.00110169,3
msgm,angular_sw_bin1,0.0168845,0.0010601,3
msgm,angular_sw_bin2,0.0212416,0.00109333,3
msgm,angular_sw_bin3,0.0253163,0.00171037,3
msgm,angular_sw_mean,0.0198733,0.00104418,3
msgm,exploding_norm_rate,0,0,3
msgm,invalid_rate,0,0,3
msgm,ks_stat,0.0142333,0.00357803,3
msgm,mmd,0.00184385,0.000204781,3
msgm,nan_rate,0,0,3
msgm,q950_err,0.0151034,0.013248,3
msgm,q990_err,0.0796262,0.0132615,3
msgm,q995_err,0.0777111,0.0191532,3
msgm,radial_w1,0.376035,0.0649639,3
msgm,sample_time_s,0.898,0.0429924,3
msgm,sliced_w1,0.486415,0.0279408,3
msgm,tail_exc_95,0.00303333,0.00242396,3
msgm,tail_exc_99,0.0027,0.000707107,3
msgm,total_train_time_s,2955.75,15.2301,3
rafm_empirical,angular_sw_bin0,0.0157192,0.002996,3
rafm_empirical,angular_sw_bin1,0.0121615,0.0020214,3
rafm_empirical,angular_sw_bin2,0.0157185,0.000453749,3
rafm_empirical,angular_sw_bin3,0.0202783,0.00377264,3
rafm_empirical,angular_sw_mean,0.0159694,0.00158069,3
rafm_empirical,exploding_norm_rate,0,0,3
rafm_empirical,invalid_rate,0,0,3
rafm_empirical,ks_stat,0.0119,0.00292233,3
rafm_empirical,mmd,0.000732899,0.000121647,3
rafm_empirical,nan_rate,0,0,3
rafm_empirical,nfe,512,0,3
rafm_empirical,q950_err,0.00550577,0.00575421,3
rafm_empirical,q990_err,0.0342908,0.00999268,3
rafm_empirical,q995_err,0.0515957,0.0342903,3
rafm_empirical,radial_w1,0.226362,0.0475628,3
rafm_empirical,sample_time_s,0.399003,0.081798,3
rafm_empirical,sliced_w1,0.331649,0.0298467,3
rafm_empirical,tail_exc_95,0.001,0.000787401,3
rafm_empirical,tail_exc_99,0.0011,0.000294392,3
rafm_empirical,total_train_time_s,35.2476,0.0683266,3
rafm_empirical_no_proj,angular_sw_bin0,0.0137859,0.00117197,3
rafm_empirical_no_proj,angular_sw_bin1,0.0131837,0.000694436,3
rafm_empirical_no_proj,angular_sw_bin2,0.0158028,0.00154561,3
rafm_empirical_no_proj,angular_sw_bin3,0.0212732,0.00217171,3
rafm_empirical_no_proj,angular_sw_mean,0.0160114,0.0010951,3
rafm_empirical_no_proj,exploding_norm_rate,0,0,3
rafm_empirical_no_proj,invalid_rate,0,0,3
rafm_empirical_no_proj,ks_stat,0.0275333,0.00273781,3
rafm_empirical_no_proj,mmd,0.000704249,0.000155925,3
rafm_empirical_no_proj,nan_rate,0,0,3
rafm_empirical_no_proj,nfe,512,0,3
rafm_empirical_no_proj,project_tangent,0,0,3
rafm_empirical_no_proj,q950_err,0.0221065,0.00441345,3
rafm_empirical_no_proj,q990_err,0.0540513,0.0242188,3
rafm_empirical_no_proj,q995_err,0.053817,0.0262897,3
rafm_empirical_no_proj,radial_w1,0.531722,0.0512342,3
rafm_empirical_no_proj,sample_time_s,0.323501,0.0894326,3
rafm_empirical_no_proj,sliced_w1,0.336814,0.0364728,3
rafm_empirical_no_proj,tail_exc_95,0.00446667,0.00111455,3
rafm_empirical_no_proj,tail_exc_99,0.00173333,0.000917726,3
rafm_oracle,angular_sw_bin0,0.0138876,0.00119575,3
rafm_oracle,angular_sw_bin1,0.0149649,0.000316531,3
rafm_oracle,angular_sw_bin2,0.0143656,9.5228e-05,3
rafm_oracle,angular_sw_bin3,0.0197623,0.00292714,3
rafm_oracle,angular_sw_mean,0.0157451,0.000856364,3
rafm_oracle,exploding_norm_rate,0,0,3
rafm_oracle,invalid_rate,0,0,3
rafm_oracle,ks_stat,0.0133333,0.00368902,3
rafm_oracle,mmd,0.000730356,0.000147797,3
rafm_oracle,nan_rate,0,0,3
rafm_oracle,nfe,512,0,3
rafm_oracle,q950_err,0.0080238,0.00507375,3
rafm_oracle,q990_err,0.0250785,0.00853715,3
rafm_oracle,q995_err,0.0638261,0.0240416,3
rafm_oracle,radial_w1,0.237716,0.0561654,3
rafm_oracle,sample_time_s,0.36267,0.0396359,3
rafm_oracle,sliced_w1,0.319505,0.0241932,3
rafm_oracle,tail_exc_95,0.00163333,0.00106249,3
rafm_oracle,tail_exc_99,0.001,0.000163299,3
rafm_oracle,total_train_time_s,35.0143,0.1721,3
source_only_empirical,angular_sw_bin0,0.0161519,0.000535759,3
source_only_empirical,angular_sw_bin1,0.014443,0.00113491,3
source_only_empirical,angular_sw_bin2,0.0205035,0.0027178,3
source_only_empirical,angular_sw_bin3,0.0238223,0.00265393,3
source_only_empirical,angular_sw_mean,0.0187302,0.00151337,3
source_only_empirical,exploding_norm_rate,0,0,3
source_only_empirical,invalid_rate,0,0,3
source_only_empirical,ks_stat,0.0207,0.00547175,3
source_only_empirical,mmd,0.00141144,0.000419891,3
source_only_empirical,nan_rate,0,0,3
source_only_empirical,nfe,512,0,3
source_only_empirical,q950_err,0.0150671,0.0124715,3
source_only_empirical,q990_err,0.0290144,0.0234817,3
source_only_empirical,q995_err,0.0447432,0.0392216,3
source_only_empirical,radial_w1,0.398639,0.0444446,3
source_only_empirical,sample_time_s,0.242855,0.0570707,3
source_only_empirical,sliced_w1,0.437887,0.0644204,3
source_only_empirical,tail_exc_95,0.00316667,0.00261958,3
source_only_empirical,tail_exc_99,0.000966667,0.000942809,3
source_only_empirical,total_train_time_s,18.9638,0.335844,3
source_only_oracle,angular_sw_bin0,0.0166487,0.00176613,3
source_only_oracle,angular_sw_bin1,0.0163985,0.00137044,3
source_only_oracle,angular_sw_bin2,0.0177104,0.00450895,3
source_only_oracle,angular_sw_bin3,0.0239264,0.00107542,3
source_only_oracle,angular_sw_mean,0.018671,0.00205733,3
source_only_oracle,exploding_norm_rate,0,0,3
source_only_oracle,invalid_rate,0,0,3
source_only_oracle,ks_stat,0.0271,0.00481941,3
source_only_oracle,mmd,0.00141104,0.000392182,3
source_only_oracle,nan_rate,0,0,3
source_only_oracle,nfe,512,0,3
source_only_oracle,q950_err,0.013492,0.0166005,3
source_only_oracle,q990_err,0.048241,0.00349434,3
source_only_oracle,q995_err,0.110809,0.0102422,3
source_only_oracle,radial_w1,0.508273,0.131874,3
source_only_oracle,sample_time_s,0.276377,0.0169993,3
source_only_oracle,sliced_w1,0.433249,0.0595378,3
source_only_oracle,tail_exc_95,0.00306667,0.00391606,3
source_only_oracle,tail_exc_99,0.0022,0.000282843,3
source_only_oracle,total_train_time_s,19.2185,0.0346642,3
