method,metric,mean,std,n_seeds
gaussian_fm,angular_sw_bin0,0.0585468,0.00489739,3
gaussian_fm,angular_sw_bin1,0.0561286,0.00976309,3
gaussian_fm,angular_sw_bin2,0.0384995,0.0161337,3
gaussian_fm,angular_sw_bin3,0.0474738,0.00142426,3
gaussian_fm,angular_sw_mean,0.0501622,0.0051053,3
gaussian_fm,exploding_norm_rate,0,0,3
gaussian_fm,invalid_rate,0,0,3
gaussian_fm,ks_stat,0.0562667,0.00676576,3
gaussian_fm,mmd,0.00128829,0.000491729,3
gaussian_fm,nan_rate,0,0,3
gaussian_fm,nfe,512,0,3
gaussian_fm,q950_err,0.0367756,0.0410774,3
gaussian_fm,q990_err,0.041257,0.0258194,3
gaussian_fm,q995_err,0.086613,0.0178036,3
gaussian_fm,radial_w1,0.0821362,0.0426107,3
gaussian_fm,sample_time_s,0.263334,0.0380557,3
gaussian_fm,sliced_w1,0.0799929,0.0133904,3
gaussian_fm,tail_exc_95,0.00546667,0.00597011,3
gaussian_fm,tail_exc_99,0.00123333,0.00074087,3
gaussian_fm,total_train_time_s,18.4515,0.0849271,3
msgm,angular_sw_bin0,0.0401363,0.000621711,3
msgm,angular_sw_bin1,0.0295772,0.00261816,3
msgm,angular_sw_bin2,0.0378976,0.0018604,3
msgm,angular_sw_bin3,0.03137,0.00254045,3
msgm,angular_sw_mean,0.0347453,0.0010844,3
msgm,exploding_norm_rate,0,0,3
msgm,invalid_rate,0,0,3
msgm,ks_stat,0.0203,0.00264953,3
msgm,mmd,0.000286857,2.97438e-05,3
msgm,nan_rate,0,0,3
msgm,q950_err,0.0521954,0.0174252,3
msgm,q990_err,0.036942,0.023956,3
msgm,q995_err,0.0274063,0.0158169,3
msgm,radial_w1,0.0487913,0.00871393,3
msgm,sample_time_s,0.771504,0.0272269,3
msgm,sliced_w1,0.0449225,0.00381841,3
msgm,tail_exc_95,0.00723333,0.00266375,3
msgm,tail_exc_99,0.0006,0.000374166,3
msgm,total_train_time_s,3012.24,17.4246,3
rafm_empirical,angular_sw_bin0,0.69317,0.159374,3
rafm_empirical,angular_sw_bin1,0.565879,0.201026,3
rafm_empirical,angular_sw_bin2,0.319383,0.0415002,3
rafm_empirical,angular_sw_bin3,0.299755,0.0539225,3
rafm_empirical,angular_sw_mean,0.469547,0.0987573,3
rafm_empirical,exploding_norm_rate,0,0,3
rafm_empirical,invalid_rate,0,0,3
rafm_empirical,ks_stat,0.0291,0.0292309,3
rafm_empirical,mmd,0.0407618,0.0149001,3
rafm_empirical,nan_rate,0,0,3
rafm_empirical,nfe,512,0,3
rafm_empirical,q950_err,0.00973874,0.0067452,3
rafm_empirical,q990_err,0.013317,0.00590311,3
rafm_empirical,q995_err,0.0463076,0.0341434,3
rafm_empirical,radial_w1,0.0232719,0.00494336,3
rafm_empirical,sample_time_s,0.378002,0.0418685,3
rafm_empirical,sliced_w1,0.337077,0.0420723,3
rafm_empirical,tail_exc_95,0.000900001,0.000748332,3
rafm_empirical,tail_exc_99,0.0004,0.000244949,3
rafm_empirical,total_train_time_s,38.4673,0.178403,3
rafm_empirical_no_proj,angular_sw_bin0,0.254572,0.119584,2
rafm_empirical_no_proj,angular_sw_bin0__nan_count,1,0,1
rafm_empirical_no_proj,angular_sw_bin1,0.30058,0.0581636,2
rafm_empirical_no_proj,angular_sw_bin1__nan_count,1,0,1
rafm_empirical_no_proj,angular_sw_bin2,0.293384,0.0250241,2
rafm_empirical_no_proj,angular_sw_bin2__nan_count,1,0,1
rafm_empirical_no_proj,angular_sw_bin3,0.580716,0.0237408,2
rafm_empirical_no_proj,angular_sw_bin3__nan_count,1,0,1
rafm_empirical_no_proj,angular_sw_mean,0.357313,0.0447578,2
rafm_empirical_no_proj,angular_sw_mean__nan_count,1,0,1
rafm_empirical_no_proj,exploding_norm_rate,0.0095,0.013435,3
rafm_empirical_no_proj,invalid_rate,0.157167,0.202449,3
rafm_empirical_no_proj,ks_stat,0.614367,0.279254,3
rafm_empirical_no_proj,mmd,0.165399,0.0432675,2
rafm_empirical_no_proj,mmd__nan_count,1,0,1
rafm_empirical_no_proj,nan_rate,0.147667,0.208832,3
rafm_empirical_no_proj,nfe,512,0,3
rafm_empirical_no_proj,project_tangent,0,0,3
rafm_empirical_no_proj,q950_err,1.42515,0.643878,2
rafm_empirical_no_proj,q950_err__nan_count,1,0,1
rafm_empirical_no_proj,q990_err,170.159,169.474,2
rafm_empirical_no_proj,q990_err__nan_count,1,0,1
rafm_empirical_no_proj,q995_err,190.109,189.371,2
rafm_empirical_no_proj,q995_err__nan_count,1,0,1
rafm_empirical_no_proj,radial_w1,26.7003,25.6583,2
rafm_empirical_no_proj,radial_w1__nan_count,1,0,1
rafm_empirical_no_proj,sample_time_s,0.416004,0.0569784,3
rafm_empirical_no_proj,sliced_w1,17.0061,16.0274,2
rafm_empirical_no_proj,sliced_w1__nan_count,1,0,1
rafm_empirical_no_proj,tail_exc_95,0.2726,0.16618,3
rafm_empirical_no_proj,tail_exc_99,0.223267,0.229717,3
rafm_oracle,angular_sw_bin0,0.691882,0.162683,3
rafm_oracle,angular_sw_bin1,0.552801,0.188098,3
