method,metric,mean,std,n_seeds
gaussian_fm,angular_sw_bin0,0.0154567,0.000903917,3
gaussian_fm,angular_sw_bin1,0.0222819,0.00262139,3
gaussian_fm,angular_sw_bin2,0.0255656,0.00272101,3
gaussian_fm,angular_sw_bin3,0.0309174,0.00513058,3
gaussian_fm,angular_sw_mean,0.0235554,0.00250555,3
gaussian_fm,exploding_norm_rate,0,0,3
gaussian_fm,invalid_rate,0,0,3
gaussian_fm,ks_stat,0.218391,0.0089618,3
gaussian_fm,mmd,0.0117008,0.00191036,3
gaussian_fm,n_params,45873,0,3
gaussian_fm,nan_rate,0,0,3
gaussian_fm,nfe,512,0,3
gaussian_fm,q950_err,0.162761,0.0343375,3
gaussian_fm,q990_err,0.190311,0.0559171,3
gaussian_fm,q995_err,0.310832,0.0391542,3
gaussian_fm,radial_w1,1.41792,0.113202,3
gaussian_fm,sample_time_s,0.164166,0.0100372,3
gaussian_fm,sliced_w1,0.194107,0.0179933,3
gaussian_fm,tail_exc_95,0.0215546,0.00533824,3
gaussian_fm,tail_exc_99,0.00616858,0.00130326,3
gaussian_fm,total_train_time_s,17.6054,0.0783994,3
msgm,angular_sw_bin0,0.0138211,0.000907869,3
msgm,angular_sw_bin1,0.0160088,0.000572532,3
msgm,angular_sw_bin2,0.0178218,0.000699826,3
msgm,angular_sw_bin3,0.0302245,0.00155798,3
msgm,angular_sw_mean,0.0194691,0.000406465,3
msgm,exploding_norm_rate,0,0,3
msgm,invalid_rate,0,0,3
msgm,ks_stat,0.197492,0.00587672,3
msgm,mmd,0.012434,0.000458392,3
msgm,nan_rate,0,0,3
msgm,q950_err,0.199209,0.00737604,3
msgm,q990_err,0.254973,0.0199435,3
msgm,q995_err,0.375147,0.0177434,3
msgm,radial_w1,1.41675,0.0334805,3
msgm,sample_time_s,1.48286,0.0102579,3
msgm,sliced_w1,0.182007,0.00289838,3
msgm,tail_exc_95,0.0284047,0.000752437,3
msgm,tail_exc_99,0.00732962,0.000164195,3
msgm,total_train_time_s,18658,463.216,3
rafm_empirical,angular_sw_bin0,0.0139934,0.000518218,3
rafm_empirical,angular_sw_bin1,0.0163559,0.000804776,3
rafm_empirical,angular_sw_bin2,0.0193175,0.000453227,3
rafm_empirical,angular_sw_bin3,0.0193621,0.000692206,3
rafm_empirical,angular_sw_mean,0.0172573,0.000332421,3
rafm_empirical,exploding_norm_rate,0,0,3
rafm_empirical,invalid_rate,0,0,3
rafm_empirical,ks_stat,0.200279,0.00280096,3
rafm_empirical,mmd,0.0097959,0.000595266,3
rafm_empirical,n_params,45873,0,3
rafm_empirical,nan_rate,0,0,3
rafm_empirical,nfe,512,0,3
rafm_empirical,q950_err,0.200729,0.00989119,3
rafm_empirical,q990_err,0.275901,0.00650563,3
rafm_empirical,q995_err,0.381247,0.0211387,3
rafm_empirical,radial_w1,1.42287,0.0400601,3
rafm_empirical,sample_time_s,0.264334,0.0192931,3
rafm_empirical,sliced_w1,0.174051,0.00264264,3
rafm_empirical,tail_exc_95,0.0277081,0.0010254,3
rafm_empirical,tail_exc_99,0.00721351,0.000752437,3
rafm_empirical,total_train_time_s,34.6876,0.0711471,3
source_only_empirical,angular_sw_bin0,0.0156301,0.000239543,3
source_only_empirical,angular_sw_bin1,0.0193564,0.00201364,3
source_only_empirical,angular_sw_bin2,0.0235537,0.00121924,3
source_only_empirical,angular_sw_bin3,0.0236356,0.00195321,3
source_only_empirical,angular_sw_mean,0.020544,0.000609588,3
source_only_empirical,exploding_norm_rate,0,0,3
source_only_empirical,invalid_rate,0,0,3
source_only_empirical,ks_stat,0.246023,0.000914194,3
source_only_empirical,mmd,0.0131202,0.000422,3
source_only_empirical,n_params,45873,0,3
source_only_empirical,nan_rate,0,0,3
source_only_empirical,nfe,512,0,3
source_only_empirical,q950_err,0.210138,0.0104065,3
source_only_empirical,q990_err,0.259982,0.0221089,3
source_only_empirical,q995_err,0.349783,0.0228634,3
source_only_empirical,radial_w1,1.70675,0.0398291,3
source_only_empirical,sample_time_s,0.174332,0.00866051,3
source_only_empirical,sliced_w1,0.207571,0.00445853,3
source_only_empirical,tail_exc_95,0.0286369,0.00171425,3
source_only_empirical,tail_exc_99,0.00698131,0.00043442,3
source_only_empirical,total_train_time_s,18.877,0.119966,3
