method,metric,mean,std,n_seeds
gaussian_fm,angular_sw_bin0,0.0137124,0.000627196,3
gaussian_fm,angular_sw_bin1,0.0127897,0.000636672,3
gaussian_fm,angular_sw_bin2,0.0142385,0.002194,3
gaussian_fm,angular_sw_bin3,0.0148373,0.00530722,3
gaussian_fm,angular_sw_mean,0.0138945,0.00184185,3
gaussian_fm,exploding_norm_rate,0,0,3
gaussian_fm,invalid_rate,0,0,3
gaussian_fm,ks_stat,0.0335539,0.0018284,3
gaussian_fm,mmd,0.0010922,0.000488905,3
gaussian_fm,n_params,45873,0,3
gaussian_fm,nan_rate,0,0,3
gaussian_fm,nfe,512,0,3
gaussian_fm,q950_err,0.0240925,0.00798471,3
gaussian_fm,q990_err,0.0594094,0.0271967,3
gaussian_fm,q995_err,0.219362,0.0777992,3
gaussian_fm,radial_w1,0.251579,0.0380832,3
gaussian_fm,sample_time_s,0.140362,0.0167392,3
gaussian_fm,sliced_w1,0.069006,0.00449552,3
gaussian_fm,tail_exc_95,0.00344247,0.000592015,3
gaussian_fm,tail_exc_99,0.00242308,0.00114937,3
gaussian_fm,total_train_time_s,17.0372,0.111959,3
rafm_empirical,angular_sw_bin0,0.0149213,0.000703691,3
rafm_empirical,angular_sw_bin1,0.0116094,0.000449895,3
rafm_empirical,angular_sw_bin2,0.0131077,0.00126726,3
rafm_empirical,angular_sw_bin3,0.0122157,0.00121725,3
rafm_empirical,angular_sw_mean,0.0129635,8.1262e-05,3
rafm_empirical,exploding_norm_rate,0,0,3
rafm_empirical,invalid_rate,0,0,3
rafm_empirical,ks_stat,0.020202,0.00102538,3
rafm_empirical,mmd,0.000642856,0.0002954,3
rafm_empirical,n_params,45873,0,3
rafm_empirical,nan_rate,0,0,3
rafm_empirical,nfe,512,0,3
rafm_empirical,q950_err,0.0553693,0.0116096,3
rafm_empirical,q990_err,0.09495,0.0102488,3
rafm_empirical,q995_err,0.0437097,0.0300268,3
rafm_empirical,radial_w1,0.174763,0.0142368,3
rafm_empirical,sample_time_s,0.232889,0.0135671,3
rafm_empirical,sliced_w1,0.0570342,0.00570901,3
rafm_empirical,tail_exc_95,0.00843492,0.00140288,3
rafm_empirical,tail_exc_99,0.00256937,0.00071571,3
rafm_empirical,total_train_time_s,38.9122,0.0927005,3
source_only_empirical,angular_sw_bin0,0.0146062,0.000589341,3
source_only_empirical,angular_sw_bin1,0.0131148,0.000446929,3
source_only_empirical,angular_sw_bin2,0.013268,0.000782332,3
source_only_empirical,angular_sw_bin3,0.0126259,0.00339711,3
source_only_empirical,angular_sw_mean,0.0134037,0.00101345,3
source_only_empirical,exploding_norm_rate,0,0,3
source_only_empirical,invalid_rate,0,0,3
source_only_empirical,ks_stat,0.0658307,0.00774158,3
source_only_empirical,mmd,0.00113583,0.00024507,3
source_only_empirical,n_params,45873,0,3
source_only_empirical,nan_rate,0,0,3
source_only_empirical,nfe,512,0,3
source_only_empirical,q950_err,0.0656684,0.0099385,3
source_only_empirical,q990_err,0.0962829,0.0214605,3
source_only_empirical,q995_err,0.0309977,0.025959,3
source_only_empirical,radial_w1,0.351208,0.0238454,3
source_only_empirical,sample_time_s,0.162207,0.00543076,3
source_only_empirical,sliced_w1,0.0688113,0.00582326,3
source_only_empirical,tail_exc_95,0.0111053,0.00043442,3
source_only_empirical,tail_exc_99,0.00198885,0.000752437,3
source_only_empirical,total_train_time_s,17.9106,0.0516378,3
